variable,female diagnosed diabetes >1y,female newly and undiagnosed diabetes,female non-diabetes,male diagnosed diabetes >1y,male newly and undiagnosed diabetes,male non-diabetes
BMI,"33.5 	 (32.8, 34.1)","32.3 	 (31.4, 33.2)","28.4 	 (28.1, 28.7)","31.4 	 (30.7, 32)","31.3 	 (30.6, 32)","28.1 	 (27.9, 28.3)"
Fat percentage,"37.8 	 (36.9, 38.7)","38.4 	 (37.6, 39.2)","37.2 	 (36.8, 37.5)","32.3 	 (31.3, 33.2)","32.1 	 (31.2, 33.1)","28.7 	 (28.3, 29.1)"
Waistcircumference,"107.4 	 (106.3, 108.5)","103.2 	 (101.1, 105.2)","94.5 	 (93.8, 95.1)","108.8 	 (107.3, 110.3)","108.1 	 (106.3, 109.9)","99 	 (98.4, 99.6)"
Waist-to-Height Ratio,"0.7 	 (0.7, 0.7)","0.6 	 (0.6, 0.7)","0.6 	 (0.6, 0.6)","0.6 	 (0.6, 0.6)","0.6 	 (0.6, 0.6)","0.6 	 (0.6, 0.6)"
Fasting glucose,"153.7 	 (149.1, 158.4)","146.1 	 (140.9, 151.4)","97 	 (96.3, 97.6)","165.2 	 (160.3, 170)","147.6 	 (142.9, 152.3)","98.7 	 (98.1, 99.4)"
Glycohemoglobin,"7.3 	 (7.2, 7.4)","6.5 	 (6.4, 6.6)","5.5 	 (5.5, 5.5)","7.5 	 (7.3, 7.6)","6.5 	 (6.3, 6.6)","5.5 	 (5.5, 5.5)"
SBP,"126.9 	 (125.4, 128.5)","126 	 (124.3, 127.6)","121.2 	 (120.5, 121.9)","125.7 	 (124.5, 126.9)","127.1 	 (125.3, 128.9)","125.3 	 (124.7, 126)"
DBP,"67.3 	 (66.3, 68.4)","71.3 	 (70, 72.6)","69.9 	 (69.4, 70.5)","70.3 	 (69.3, 71.4)","73.7 	 (72.3, 75.1)","72.6 	 (72, 73.3)"
LDL,"105 	 (100.6, 109.4)","119.3 	 (113.4, 125.1)","105 	 (103.1, 107)","96.7 	 (92.3, 101.2)","124.4 	 (118.3, 130.5)","115.1 	 (113.3, 116.9)"
HDL,"49.1 	 (47.9, 50.4)","52.6 	 (50.4, 54.7)","60 	 (59.3, 60.8)","41.6 	 (40.5, 42.8)","43 	 (41.5, 44.5)","49.5 	 (49, 50.1)"
Triglyceride,"145.6 	 (128.3, 162.9)","137 	 (112.3, 161.6)","156.5 	 (150, 163.1)","130.1 	 (116.6, 143.7)","122.5 	 (89.9, 155)","133.4 	 (127.8, 139.1)"
Total cholesterol,"182 	 (178.2, 185.8)","198.2 	 (193.8, 202.5)","195 	 (193.5, 196.4)","163.2 	 (159.3, 167.1)","190.9 	 (184.3, 197.5)","190.4 	 (188.9, 191.9)"
