gender,variable,est,value,type,group
Female,fat_percentage,mean,38.3563853622106,Continuous,NA
Female,fat_percentage,sd,6.358306529830504,Continuous,NA
Female,fat_percentage,median,39,Continuous,NA
Female,fat_percentage,q25,34.2,Continuous,NA
Female,fat_percentage,q75,42.9,Continuous,NA
Female,fat_percentage,min,15,Continuous,NA
Female,fat_percentage,max,56.1,Continuous,NA
Female,fat_percentage,freq,5356,Continuous,NA
Female,fat_percentage,missing,4282,Continuous,NA
Female,bmi,mean,28.8488367196547,Continuous,NA
Female,bmi,sd,7.499924016220363,Continuous,NA
Female,bmi,median,27.6,Continuous,NA
Female,bmi,q25,23.4,Continuous,NA
Female,bmi,q75,32.8,Continuous,NA
Female,bmi,min,13.4,Continuous,NA
Female,bmi,max,82.9,Continuous,NA
Female,bmi,freq,9499,Continuous,NA
Female,bmi,missing,139,Continuous,NA
Male,fat_percentage,mean,26.3761850802644,Continuous,NA
Male,fat_percentage,sd,6.212166288802931,Continuous,NA
Male,fat_percentage,median,26.4,Continuous,NA
Male,fat_percentage,q25,22.2,Continuous,NA
Male,fat_percentage,q75,30.5,Continuous,NA
Male,fat_percentage,min,11.7,Continuous,NA
Male,fat_percentage,max,49.6,Continuous,NA
Male,fat_percentage,freq,5295,Continuous,NA
Male,fat_percentage,missing,3646,Continuous,NA
Male,bmi,mean,28.018336162988117,Continuous,NA
Male,bmi,sd,6.033835334264837,Continuous,NA
Male,bmi,median,27.1,Continuous,NA
Male,bmi,q25,23.9,Continuous,NA
Male,bmi,q75,31,Continuous,NA
Male,bmi,min,14.1,Continuous,NA
Male,bmi,max,86.2,Continuous,NA
Male,bmi,freq,8835,Continuous,NA
Male,bmi,missing,106,Continuous,NA
Total,fat_percentage,mean,32.40059149375646,Continuous,NA
Total,fat_percentage,sd,8.683005182125903,Continuous,NA
Total,fat_percentage,median,32.1,Continuous,NA
Total,fat_percentage,q25,25.9,Continuous,NA
Total,fat_percentage,q75,39.3,Continuous,NA
Total,fat_percentage,min,11.7,Continuous,NA
Total,fat_percentage,max,56.1,Continuous,NA
Total,fat_percentage,freq,10651,Continuous,NA
Total,fat_percentage,missing,7928,Continuous,NA
Total,bmi,mean,28.448625504527108,Continuous,NA
Total,bmi,sd,6.845219138683846,Continuous,NA
Total,bmi,median,27.3,Continuous,NA
Total,bmi,q25,23.7,Continuous,NA
Total,bmi,q75,31.9,Continuous,NA
Total,bmi,min,13.4,Continuous,NA
Total,bmi,max,86.2,Continuous,NA
Total,bmi,freq,18334,Continuous,NA
Total,bmi,missing,245,Continuous,NA
Female,bmi_category,proportion,31.63519402365636,Grouped,18.5-24.9
Female,bmi_category,freq,3049,Grouped,18.5-24.9
Female,bmi_category,proportion,27.61983814069309,Grouped,25-29.9
Female,bmi_category,freq,2662,Grouped,25-29.9
Female,bmi_category,proportion,28.844158539116,Grouped,30-39.9
Female,bmi_category,freq,2780,Grouped,30-39.9
Female,bmi_category,proportion,2.5005187798298403,Grouped,<18.5
Female,bmi_category,freq,241,Grouped,<18.5
Female,bmi_category,proportion,9.400290516704711,Grouped,>= 40
Female,bmi_category,freq,906,Grouped,>= 40
Male,bmi_category,proportion,30.432837490213622,Grouped,18.5-24.9
Male,bmi_category,freq,2721,Grouped,18.5-24.9
Male,bmi_category,proportion,36.34940163292696,Grouped,25-29.9
Male,bmi_category,freq,3250,Grouped,25-29.9
Male,bmi_category,proportion,26.070909294262385,Grouped,30-39.9
Male,bmi_category,freq,2331,Grouped,30-39.9
Male,bmi_category,proportion,1.8230622972821833,Grouped,<18.5
Male,bmi_category,freq,163,Grouped,<18.5
Male,bmi_category,proportion,5.323789285314842,Grouped,>= 40
Male,bmi_category,freq,476,Grouped,>= 40
Total,bmi_category,proportion,31.056569244846333,Grouped,18.5-24.9
Total,bmi_category,freq,5770,Grouped,18.5-24.9
Total,bmi_category,proportion,31.820873028688304,Grouped,25-29.9
Total,bmi_category,freq,5912,Grouped,25-29.9
Total,bmi_category,proportion,27.509553797298025,Grouped,30-39.9
Total,bmi_category,freq,5111,Grouped,30-39.9
Total,bmi_category,proportion,2.1744980892405406,Grouped,<18.5
Total,bmi_category,freq,404,Grouped,<18.5
Total,bmi_category,proportion,7.438505839926799,Grouped,>= 40
Total,bmi_category,freq,1382,Grouped,>= 40
Female,bf_category,proportion,2.68857356235997,Grouped,0
Female,bf_category,freq,144,Grouped,0
Female,bf_category,proportion,8.849887976101568,Grouped,1
Female,bf_category,freq,474,Grouped,1
Female,bf_category,proportion,16.72890216579537,Grouped,2
Female,bf_category,freq,896,Grouped,2
Female,bf_category,proportion,71.73263629574309,Grouped,3
Female,bf_category,freq,3842,Grouped,3
Male,bf_category,proportion,1.5486307837582625,Grouped,0
Male,bf_category,freq,82,Grouped,0
Male,bf_category,proportion,15.297450424929178,Grouped,1
Male,bf_category,freq,810,Grouped,1
Male,bf_category,proportion,23.474976392823418,Grouped,2
Male,bf_category,freq,1243,Grouped,2
Male,bf_category,proportion,59.67894239848914,Grouped,3
Male,bf_category,freq,3160,Grouped,3
Total,bf_category,proportion,2.1218664914092575,Grouped,0
Total,bf_category,freq,226,Grouped,0
Total,bf_category,proportion,12.055206083935781,Grouped,1
Total,bf_category,freq,1284,Grouped,1
Total,bf_category,proportion,20.08262135010797,Grouped,2
Total,bf_category,freq,2139,Grouped,2
Total,bf_category,proportion,65.740306074547,Grouped,3
Total,bf_category,freq,7002,Grouped,3
