sex,race_eth,dm,estimate,CI_lower,CI_upper,variable
female,Asian,diagnosed diabetes >1y,27.134725553212867,26.23447249690495,28.034978609520785,BMI
female,Asian,newly and undiagnosed diabetes,26.281559401557715,25.211441717518117,27.351677085597313,BMI
female,Asian,non-diabetes,24.313753387746306,23.97009158173689,24.65741519375572,BMI
female,Hispanic,diagnosed diabetes >1y,33.69290286654317,32.79450071351854,34.591305019567805,BMI
female,Hispanic,newly and undiagnosed diabetes,33.99157538551316,32.85862345784537,35.12452731318095,BMI
female,Hispanic,non-diabetes,29.477975025601317,29.08463805621648,29.871311994986154,BMI
female,NHBlack,diagnosed diabetes >1y,34.5716350500071,33.70600361073996,35.43726648927424,BMI
female,NHBlack,newly and undiagnosed diabetes,36.39910482800414,34.98331478011757,37.814894875890715,BMI
female,NHBlack,non-diabetes,31.434643422525717,31.02337090169681,31.845915943354623,BMI
female,NHWhite,diagnosed diabetes >1y,34.322747466791235,33.21831072083578,35.42718421274669,BMI
female,NHWhite,newly and undiagnosed diabetes,32.108488336843,30.788691534699215,33.428285138986794,BMI
female,NHWhite,non-diabetes,28.387963943661934,28.030822543227455,28.745105344096412,BMI
male,Asian,diagnosed diabetes >1y,25.85022979343069,25.183590028556555,26.516869558304823,BMI
male,Asian,newly and undiagnosed diabetes,26.58223005783911,25.937511337763407,27.22694877791481,BMI
male,Asian,non-diabetes,25.56213209410129,25.257776240123977,25.866487948078603,BMI
male,Hispanic,diagnosed diabetes >1y,30.665513037160242,29.956381951077013,31.37464412324347,BMI
male,Hispanic,newly and undiagnosed diabetes,32.17966228586281,31.1916579409166,33.16766663080902,BMI
male,Hispanic,non-diabetes,29.2978428283417,28.935810137237254,29.659875519446146,BMI
male,NHBlack,diagnosed diabetes >1y,32.20424920413696,31.4627610128624,32.94573739541151,BMI
male,NHBlack,newly and undiagnosed diabetes,31.607686700303532,30.31125420675124,32.90411919385583,BMI
male,NHBlack,non-diabetes,28.28052881131914,27.958900543851517,28.602157078786764,BMI
male,NHWhite,diagnosed diabetes >1y,32.15608593973658,31.249769014810628,33.06240286466252,BMI
male,NHWhite,newly and undiagnosed diabetes,31.96547881267182,30.985304601321126,32.94565302402251,BMI
male,NHWhite,non-diabetes,28.389367480860773,28.129173975423715,28.649560986297832,BMI
female,Asian,diagnosed diabetes >1y,36.39932459407119,35.05485883238795,37.74379035575443,Fat percentage
female,Asian,newly and undiagnosed diabetes,36.63917956034212,35.32903329190648,37.949325828777766,Fat percentage
female,Asian,non-diabetes,36.2063117620689,35.76036487902854,36.65225864510926,Fat percentage
female,Hispanic,diagnosed diabetes >1y,38.540222741322125,37.54224715109742,39.53819833154683,Fat percentage
female,Hispanic,newly and undiagnosed diabetes,40.28074138831638,39.227271287047785,41.33421148958497,Fat percentage
female,Hispanic,non-diabetes,38.9380978411962,38.5252370740662,39.35095860832621,Fat percentage
female,NHBlack,diagnosed diabetes >1y,37.53812736344386,36.39791487026428,38.678339856623445,Fat percentage
female,NHBlack,newly and undiagnosed diabetes,39.40166244277796,37.983599289140344,40.81972559641558,Fat percentage
female,NHBlack,non-diabetes,37.79227205917048,37.31769220835952,38.26685190998144,Fat percentage
female,NHWhite,diagnosed diabetes >1y,38.27703830459805,37.13845803987375,39.415618569322355,Fat percentage
female,NHWhite,newly and undiagnosed diabetes,37.89686089450428,36.47143122636827,39.32229056264029,Fat percentage
female,NHWhite,non-diabetes,37.136021652461714,36.71431842566989,37.55772487925354,Fat percentage
male,Asian,diagnosed diabetes >1y,28.789173611182328,27.645473789407117,29.93287343295754,Fat percentage
male,Asian,newly and undiagnosed diabetes,29.242646638690424,28.062876225152717,30.422417052228127,Fat percentage
male,Asian,non-diabetes,27.838288530288956,27.453210183330977,28.223366877246935,Fat percentage
male,Hispanic,diagnosed diabetes >1y,31.081251213095,30.103194151485575,32.05930827470443,Fat percentage
male,Hispanic,newly and undiagnosed diabetes,31.8595654667677,30.739999360318727,32.97913157321668,Fat percentage
male,Hispanic,non-diabetes,29.427620025109313,28.908222710532623,29.947017339686003,Fat percentage
male,NHBlack,diagnosed diabetes >1y,31.069972600254633,29.829894473704886,32.31005072680438,Fat percentage
male,NHBlack,newly and undiagnosed diabetes,30.771159929516177,29.345274233051544,32.19704562598081,Fat percentage
male,NHBlack,non-diabetes,26.878945246127678,26.325566586375203,27.432323905880153,Fat percentage
male,NHWhite,diagnosed diabetes >1y,33.39315430680985,31.850831697609106,34.935476916010586,Fat percentage
male,NHWhite,newly and undiagnosed diabetes,33.15287911406997,31.678137812396972,34.62762041574296,Fat percentage
male,NHWhite,non-diabetes,29.301283682074573,28.768557706512816,29.83400965763633,Fat percentage
