variable,female DM,female NoDM,female PreDM,male DM,male NoDM,male PreDM
BMI,"33.6 	 (32.7, 34.5)","26.2 	 (25.8, 26.6)","30.1 	 (29.7, 30.6)","31.9 	 (31.1, 32.6)","26.1 	 (25.6, 26.6)","28.6 	 (28.2, 28.9)"
Fat percentage,"39.1 	 (38.3, 39.9)","36.4 	 (35.8, 37)","38.2 	 (37.5, 38.8)","33 	 (32, 34)","26.7 	 (26, 27.3)","29.8 	 (29.2, 30.4)"
Visceral fat mass,"711.3 	 (676.6, 746.1)","403.2 	 (387.2, 419.2)","547.3 	 (527.9, 566.8)","720.7 	 (685.4, 756)","463.9 	 (446.9, 480.9)","565.1 	 (549.1, 581)"
Subcutaneous fat mass,"2207.7 	 (2117.9, 2297.5)","1613 	 (1561.4, 1664.7)","1942.6 	 (1886.1, 1999)","1842.8 	 (1747.9, 1937.7)","1108 	 (1049, 1166.9)","1449 	 (1398, 1500)"
Waistcircumference,"107.8 	 (106.1, 109.4)","89.6 	 (88.6, 90.6)","98.4 	 (97.4, 99.4)","109.9 	 (108, 111.8)","93.8 	 (92.6, 95)","100.7 	 (99.8, 101.7)"
Waist-to-Height Ratio,"0.7 	 (0.7, 0.7)","0.6 	 (0.6, 0.6)","0.6 	 (0.6, 0.6)","0.6 	 (0.6, 0.6)","0.5 	 (0.5, 0.5)","0.6 	 (0.6, 0.6)"
Fasting glucose,"153.1 	 (148.9, 157.4)","90.4 	 (89.5, 91.3)","104.2 	 (103.2, 105.2)","160.5 	 (155.6, 165.5)","91.7 	 (90.8, 92.7)","105.5 	 (104.6, 106.3)"
Glycohemoglobin,"7.2 	 (7.1, 7.3)","5.3 	 (5.3, 5.3)","5.7 	 (5.6, 5.7)","7.3 	 (7.1, 7.4)","5.3 	 (5.3, 5.3)","5.6 	 (5.5, 5.6)"
SBP,"128.3 	 (126.8, 129.8)","118.3 	 (117.2, 119.3)","122.6 	 (121.5, 123.8)","126.9 	 (125.1, 128.8)","123.1 	 (122, 124.2)","125.5 	 (124.6, 126.5)"
DBP,"69.5 	 (68.3, 70.8)","67.7 	 (66.9, 68.5)","70 	 (69.2, 70.8)","72.5 	 (71.3, 73.7)","69.7 	 (68.8, 70.6)","72.7 	 (71.8, 73.6)"
LDL,"106.6 	 (102, 111.2)","109.6 	 (106.9, 112.4)","118.1 	 (115.5, 120.8)","96.7 	 (92.6, 100.8)","111.4 	 (109, 113.8)","117.4 	 (115, 119.9)"
HDL,"50.5 	 (48.4, 52.5)","64.5 	 (63.2, 65.7)","58 	 (56.8, 59.2)","42.1 	 (41, 43.3)","52.9 	 (51.8, 54.1)","49.6 	 (48.8, 50.4)"
Triglyceride,"154.4 	 (138.6, 170.3)","87.9 	 (82.7, 93.1)","113.8 	 (109.2, 118.4)","156.2 	 (142.6, 169.9)","109.3 	 (103.6, 115.1)","127.3 	 (121.1, 133.5)"
Total cholesterol,"186.7 	 (181.2, 192.2)","191.3 	 (188.6, 193.9)","198.3 	 (195.6, 200.9)","168.5 	 (163.4, 173.6)","185.8 	 (183.1, 188.5)","191.7 	 (188.7, 194.6)"
