year,dm,estimate,CI_lower,CI_upper,variable
2011-2012,DM,32.80528726302248,32.15523238746006,33.455342138584896,BMI
2011-2012,NoDM,26.097829851508024,25.421010801772738,26.77464890124331,BMI
2011-2012,PreDM,28.94059782694208,28.36165158512496,29.519544068759203,BMI
2013-2014,DM,32.45815190277486,31.362245403760983,33.55405840178873,BMI
2013-2014,NoDM,26.28412921407848,25.867038411260644,26.701220016896315,BMI
2013-2014,PreDM,29.606952365578334,28.97847012857735,30.235434602579318,BMI
2015-2016,DM,31.963266674025,30.779874397429975,33.14665895062003,BMI
2015-2016,NoDM,26.537697046169075,25.743986274089025,27.331407818249126,BMI
2015-2016,PreDM,29.57122049305372,28.67645973597564,30.465981250131797,BMI
2017-2018,DM,33.38579327712867,32.191724936867935,34.579861617389405,BMI
2017-2018,NoDM,25.935423307955958,25.216980786835624,26.65386582907629,BMI
2017-2018,PreDM,29.113710628177504,28.588811339548805,29.638609916806203,BMI
2011-2012,DM,35.489613853272715,34.13251967725459,36.84670802929084,Fat percentage
2011-2012,NoDM,32.54008212917702,31.685565022421727,33.39459923593232,Fat percentage
2011-2012,PreDM,33.361288808639415,32.56620878188949,34.15636883538934,Fat percentage
2013-2014,DM,35.33501244078102,34.118221685288525,36.55180319627352,Fat percentage
2013-2014,NoDM,32.822102007720474,31.921517398823635,33.72268661661732,Fat percentage
2013-2014,PreDM,33.93632740546228,33.02958118414539,34.843073626779166,Fat percentage
2015-2016,DM,35.38973707975124,33.95257533921823,36.826898820284256,Fat percentage
2015-2016,NoDM,33.07828094730268,31.931582014860055,34.224979879745305,Fat percentage
2015-2016,PreDM,34.021336030383736,33.087343944388756,34.955328116378716,Fat percentage
2017-2018,DM,36.63624396256324,35.425629719497195,37.84685820562929,Fat percentage
2017-2018,NoDM,32.597031890724146,31.512912274211857,33.681151507236436,Fat percentage
2017-2018,PreDM,33.700636977365974,32.89803736821894,34.50323658651301,Fat percentage
2011-2012,DM,740.1364174301224,706.0721006129995,774.2007342472452,Visceral fat mass
2011-2012,NoDM,429.92505521687565,408.31315181125245,451.53695862249884,Visceral fat mass
2011-2012,PreDM,556.2306946802997,528.016452898039,584.4449364625605,Visceral fat mass
2013-2014,DM,706.4367311334107,660.7713184453,752.1021438215214,Visceral fat mass
2013-2014,NoDM,433.33478027649795,414.5615403830218,452.1080201699741,Visceral fat mass
2013-2014,PreDM,569.8597548715624,546.074627442545,593.6448823005798,Visceral fat mass
2015-2016,DM,703.7744312924372,648.5148778391355,759.0339847457388,Visceral fat mass
2015-2016,NoDM,436.4497757840183,408.067288969225,464.8322625988116,Visceral fat mass
2015-2016,PreDM,569.3540836080168,539.5799021344465,599.1282650815872,Visceral fat mass
2017-2018,DM,719.8869073141308,669.3343004241603,770.4395142041012,Visceral fat mass
2017-2018,NoDM,404.50367355868946,375.9923570888362,433.01499002854274,Visceral fat mass
2017-2018,PreDM,535.6868045788792,514.6426935507998,556.7309156069587,Visceral fat mass
2011-2012,DM,1998.1353651444233,1895.5607936454107,2100.709936643436,Subcutaneous fat mass
2011-2012,NoDM,1409.3279513833793,1329.8412466775444,1488.8146560892142,Subcutaneous fat mass
2011-2012,PreDM,1651.184770533208,1577.1567048041672,1725.2128362622486,Subcutaneous fat mass
2013-2014,DM,1973.9379329050882,1856.071288151292,2091.8045776588842,Subcutaneous fat mass
2013-2014,NoDM,1430.339562642934,1367.5621402603533,1493.1169850255146,Subcutaneous fat mass
2013-2014,PreDM,1710.0759887609934,1636.5388720900257,1783.613105431961,Subcutaneous fat mass
2015-2016,DM,1953.4324724903192,1824.2762896383563,2082.588655342282,Subcutaneous fat mass
2015-2016,NoDM,1470.9042090516548,1356.9055643191152,1584.9028537841943,Subcutaneous fat mass
2015-2016,PreDM,1704.2185779066108,1603.2484990415307,1805.1886567716908,Subcutaneous fat mass
2017-2018,DM,2093.8674917641074,1975.5897594176952,2212.1452241105194,Subcutaneous fat mass
2017-2018,NoDM,1388.3695107975934,1288.6871822684818,1488.051839326705,Subcutaneous fat mass
2017-2018,PreDM,1661.3533860862944,1585.907531503278,1736.7992406693108,Subcutaneous fat mass
