sex,year,dm,estimate,CI_lower,CI_upper,variable
female,2011-2012,DM,34.35808283364986,32.68061414134998,36.03555152594974,BMI
female,2011-2012,NoDM,26.290480374887455,25.40138569574374,27.17957505403117,BMI
female,2011-2012,PreDM,30.291161124670907,29.34235429276818,31.239967956573633,BMI
female,2013-2014,DM,34.01389166601829,32.41451191567222,35.613271416364356,BMI
female,2013-2014,NoDM,26.903395957980315,26.58492492293745,27.22186699302318,BMI
female,2013-2014,PreDM,31.311062718029493,30.427249616884563,32.19487581917442,BMI
female,2015-2016,DM,33.1047082105684,32.00851156163379,34.200904859503005,BMI
female,2015-2016,NoDM,26.932382889904932,26.11557423602994,27.749191543779926,BMI
female,2015-2016,PreDM,30.828132736370605,29.59268599886311,32.0635794738781,BMI
female,2017-2018,DM,35.18495662633051,33.11617070579186,37.25374254686916,BMI
female,2017-2018,NoDM,26.57522016442423,25.501917951329094,27.648522377519367,BMI
female,2017-2018,PreDM,30.273829762007374,29.568024778681558,30.97963474533319,BMI
male,2011-2012,DM,32.53671497435103,30.66177288087959,34.41165706782247,BMI
male,2011-2012,NoDM,26.827270900194183,26.216661638297396,27.43788016209097,BMI
male,2011-2012,PreDM,28.786329429865503,28.33455506138016,29.238103798350846,BMI
male,2013-2014,DM,32.10300565308362,30.436803923185046,33.769207382982195,BMI
male,2013-2014,NoDM,26.47132682440834,25.820482953562546,27.122170695254134,BMI
male,2013-2014,PreDM,29.03102458987287,28.259596330417413,29.80245284932833,BMI
male,2015-2016,DM,32.10047377983104,30.744671155436773,33.45627640422531,BMI
male,2015-2016,NoDM,26.99406681225501,25.92459776389372,28.0635358606163,BMI
male,2015-2016,PreDM,29.409047717211013,28.64686265299277,30.171232781429257,BMI
male,2017-2018,DM,32.70125073526093,31.37925486485309,34.02324660566877,BMI
male,2017-2018,NoDM,26.26614339576907,25.3235294783564,27.208757313181742,BMI
male,2017-2018,PreDM,29.06292816825282,28.27630197935818,29.84955435714746,BMI
female,2011-2012,DM,38.65139440840547,36.606665727334786,40.69612308947616,Fat percentage
female,2011-2012,NoDM,36.59103629431954,35.676698486114766,37.50537410252431,Fat percentage
female,2011-2012,PreDM,38.01554900558474,37.0466618397583,38.984436171411176,Fat percentage
female,2013-2014,DM,39.423179081386905,37.74056270378684,41.10579545898697,Fat percentage
female,2013-2014,NoDM,37.03601455705985,36.353296314793454,37.71873279932625,Fat percentage
female,2013-2014,PreDM,38.996878726424,37.881653740812496,40.112103712035506,Fat percentage
female,2015-2016,DM,39.76199797131998,38.30795458167646,41.216041360963494,Fat percentage
female,2015-2016,NoDM,36.77362378722062,35.73278967424174,37.81445790019951,Fat percentage
female,2015-2016,PreDM,38.57275632419221,37.53998204905024,39.60553059933419,Fat percentage
female,2017-2018,DM,39.743616273471424,38.55450202022931,40.93273052671354,Fat percentage
female,2017-2018,NoDM,36.45503846986427,35.098697770425815,37.811379169302725,Fat percentage
female,2017-2018,PreDM,38.50534152172323,37.37696743408135,39.63371560936511,Fat percentage
male,2011-2012,DM,33.51727518261949,31.050088487885226,35.98446187735376,Fat percentage
male,2011-2012,NoDM,26.930135418339308,26.02891011467655,27.831360722002067,Fat percentage
male,2011-2012,PreDM,30.031128860443754,29.20569440427952,30.85656331660799,Fat percentage
male,2013-2014,DM,32.44114132558285,30.768524839584124,34.11375781158157,Fat percentage
male,2013-2014,NoDM,27.397805003842116,26.39734884782318,28.39826115986105,Fat percentage
male,2013-2014,PreDM,29.886131448107168,28.912197426746324,30.86006546946801,Fat percentage
male,2015-2016,DM,32.628723136079685,30.582275374952403,34.67517089720697,Fat percentage
male,2015-2016,NoDM,27.259641079350203,25.8722754044113,28.647006754289105,Fat percentage
male,2015-2016,PreDM,30.47695675837845,29.134687780637208,31.81922573611969,Fat percentage
male,2017-2018,DM,34.70577984883661,32.954080414447446,36.45747928322577,Fat percentage
male,2017-2018,NoDM,26.37856552522132,24.93229153654458,27.82483951389806,Fat percentage
male,2017-2018,PreDM,30.23372507593927,29.144941936583454,31.322508215295084,Fat percentage
female,2011-2012,DM,753.1831061525584,695.6098722140688,810.756340091048,Visceral fat mass
female,2011-2012,NoDM,424.6270559523129,396.1266530175074,453.1274588871184,Visceral fat mass
female,2011-2012,PreDM,562.1168861282704,521.9664931929938,602.267279063547,Visceral fat mass
female,2013-2014,DM,696.6893463334633,638.2338922239651,755.1448004429615,Visceral fat mass
female,2013-2014,NoDM,429.05039555482244,404.40221174950807,453.6985793601368,Visceral fat mass
female,2013-2014,PreDM,595.3029306574988,556.0301928446484,634.5756684703492,Visceral fat mass
female,2015-2016,DM,710.5994485574383,636.8459777383317,784.352919376545,Visceral fat mass
female,2015-2016,NoDM,435.01661289042266,398.1997972307885,471.83342855005685,Visceral fat mass
female,2015-2016,PreDM,578.2123066816173,530.3587858248984,626.0658275383362,Visceral fat mass
female,2017-2018,DM,751.0945941036873,677.5168992655188,824.6722889418559,Visceral fat mass
female,2017-2018,NoDM,416.0632942184615,378.51658768452546,453.6100007523976,Visceral fat mass
female,2017-2018,PreDM,548.9085355889795,516.4919925337459,581.325078644213,Visceral fat mass
male,2011-2012,DM,762.1771285097282,702.3348958841331,822.0193611353233,Visceral fat mass
male,2011-2012,NoDM,499.45600097723434,478.2205982660177,520.6914036884509,Visceral fat mass
male,2011-2012,PreDM,597.3749981180753,568.4802718798087,626.2697243563418,Visceral fat mass
male,2013-2014,DM,749.1189740171088,676.2929630169208,821.9449850172969,Visceral fat mass
male,2013-2014,NoDM,497.5993388630034,470.49918520692387,524.699492519083,Visceral fat mass
male,2013-2014,PreDM,589.8850157891943,560.992810793118,618.7772207852706,Visceral fat mass
male,2015-2016,DM,734.225670101076,667.4690456944187,800.9822945077334,Visceral fat mass
male,2015-2016,NoDM,498.71606028290864,465.549239088088,531.8828814777293,Visceral fat mass
male,2015-2016,PreDM,608.7563782557631,573.3700249641872,644.142731547339,Visceral fat mass
male,2017-2018,DM,726.061059369353,654.6087966660625,797.5133220726434,Visceral fat mass
male,2017-2018,NoDM,450.1469671470202,418.49982255506546,481.7941117389749,Visceral fat mass
male,2017-2018,PreDM,569.9264135968424,541.5166549053923,598.3361722882925,Visceral fat mass
female,2011-2012,DM,2228.774812069513,2032.822577973848,2424.727046165178,Subcutaneous fat mass
female,2011-2012,NoDM,1632.9813153504062,1532.8359806089916,1733.126650091821,Subcutaneous fat mass
female,2011-2012,PreDM,1966.488555850091,1863.6766776613788,2069.3004340388034,Subcutaneous fat mass
female,2013-2014,DM,2259.979642126641,2087.221052973175,2432.738231280107,Subcutaneous fat mass
female,2013-2014,NoDM,1695.6397159390551,1647.9638531450405,1743.3155787330697,Subcutaneous fat mass
female,2013-2014,PreDM,2062.615244587019,1971.5291339593837,2153.701355214654,Subcutaneous fat mass
female,2015-2016,DM,2253.0503519012,2120.2555065271326,2385.8451972752673,Subcutaneous fat mass
female,2015-2016,NoDM,1710.3530914849334,1599.2879157812404,1821.4182671886265,Subcutaneous fat mass
female,2015-2016,PreDM,2004.8891965101013,1888.1974518952388,2121.580941124964,Subcutaneous fat mass
female,2017-2018,DM,2327.619260073165,2170.1581112265526,2485.0804089197777,Subcutaneous fat mass
female,2017-2018,NoDM,1656.1482964678664,1527.3139136887928,1784.98267924694,Subcutaneous fat mass
female,2017-2018,PreDM,1990.3538442063143,1890.094600883985,2090.6130875286435,Subcutaneous fat mass
male,2011-2012,DM,1924.4175812092483,1704.29012724852,2144.5450351699765,Subcutaneous fat mass
male,2011-2012,NoDM,1199.2593780333589,1126.1984406441888,1272.320315422529,Subcutaneous fat mass
male,2011-2012,PreDM,1501.108009997329,1429.7337809714675,1572.4822390231905,Subcutaneous fat mass
