sex,race_eth,dm,estimate,CI_lower,CI_upper,variable
female,Asian,DM,28.11741334746845,25.28209155558491,30.952735139351987,BMI
female,Asian,NoDM,22.701683829771177,22.06837200764143,23.334995651900925,BMI
female,Asian,PreDM,25.268468049848728,24.245495513244002,26.291440586453454,BMI
female,Hispanic,DM,34.518169109038936,33.164721458376505,35.87161675970137,BMI
female,Hispanic,NoDM,27.879365823554092,27.134159973134825,28.62457167397336,BMI
female,Hispanic,PreDM,30.42419060546571,29.535513129205768,31.312868081725654,BMI
female,NHBlack,DM,36.17442000892851,34.661620532546436,37.68721948531058,BMI
female,NHBlack,NoDM,28.944148770641927,28.092374655838263,29.79592288544559,BMI
female,NHBlack,PreDM,33.200124184407265,31.934759176071378,34.465489192743156,BMI
female,NHWhite,DM,35.2297592259847,33.10970514490371,37.349813307065695,BMI
female,NHWhite,NoDM,26.27920982562143,25.673062056003555,26.885357595239302,BMI
female,NHWhite,PreDM,30.64910746530494,29.689127580289213,31.609087350320667,BMI
male,Asian,DM,27.20527967619294,26.227850659187762,28.182708693198116,BMI
male,Asian,NoDM,24.145883312443022,23.424642939679853,24.86712368520619,BMI
male,Asian,PreDM,25.856426018125553,25.327637613697934,26.385214422553172,BMI
male,Hispanic,DM,31.699851692459415,30.261149163709046,33.13855422120979,BMI
male,Hispanic,NoDM,27.903934340923165,27.08908371967671,28.718784962169618,BMI
male,Hispanic,PreDM,29.636157241446778,29.084852962650896,30.18746152024266,BMI
male,NHBlack,DM,32.34795326514028,30.553669863189633,34.142236667090934,BMI
male,NHBlack,NoDM,25.840105320448725,25.02135121694861,26.65885942394884,BMI
male,NHBlack,PreDM,28.79467409088372,27.891968019262585,29.697380162504857,BMI
male,NHWhite,DM,32.794997756953464,31.149135274509053,34.44086023939788,BMI
male,NHWhite,NoDM,26.75736619555216,26.25311359197185,27.261618799132467,BMI
male,NHWhite,PreDM,28.818913614583753,28.218667170854868,29.419160058312638,BMI
female,Asian,DM,37.79135125410885,34.386012884727364,41.19668962349032,Fat percentage
female,Asian,NoDM,35.06305572125121,34.174002247052655,35.952109195449765,Fat percentage
female,Asian,PreDM,36.876187497329454,35.930734183367925,37.82164081129098,Fat percentage
female,Hispanic,DM,41.837279320289845,40.99686196636509,42.6776966742146,Fat percentage
female,Hispanic,NoDM,38.929476863393546,38.1826402864676,39.67631344031949,Fat percentage
female,Hispanic,PreDM,40.46070023818987,39.760232537197865,41.16116793918188,Fat percentage
female,NHBlack,DM,41.3353933062247,40.143263120404555,42.52752349204485,Fat percentage
female,NHBlack,NoDM,37.69119287760555,36.76503113908368,38.61735461612742,Fat percentage
female,NHBlack,PreDM,40.475284819488074,39.55847054925063,41.39209908972552,Fat percentage
female,NHWhite,DM,41.660139089011246,40.102421046745924,43.21785713127657,Fat percentage
female,NHWhite,NoDM,36.68340803234313,35.968690570925894,37.39812549376037,Fat percentage
female,NHWhite,PreDM,40.044141530380266,39.1642853506084,40.92399771015213,Fat percentage
male,Asian,DM,27.568976981930028,26.286810871766555,28.8511430920935,Fat percentage
male,Asian,NoDM,25.485202039640736,24.496258791224268,26.474145288057205,Fat percentage
male,Asian,PreDM,26.89871728630319,26.170488738225774,27.626945834380603,Fat percentage
male,Hispanic,DM,29.546686179687143,28.295181733909327,30.798190625464958,Fat percentage
male,Hispanic,NoDM,27.21419588333954,26.33393661521437,28.094455151464707,Fat percentage
male,Hispanic,PreDM,28.537562296483497,27.832100696220213,29.24302389674678,Fat percentage
male,NHBlack,DM,28.699482328635604,26.995242925846767,30.40372173142444,Fat percentage
male,NHBlack,NoDM,22.45647512011092,21.47477967250904,23.4381705677128,Fat percentage
male,NHBlack,PreDM,24.998767502684426,24.005158735998325,25.992376269370528,Fat percentage
male,NHWhite,DM,30.382390994280048,29.042332820165463,31.722449168394633,Fat percentage
male,NHWhite,NoDM,25.855782882174104,25.199258808974815,26.512306955373393,Fat percentage
male,NHWhite,PreDM,27.85724945269654,27.281940047935105,28.432558857457973,Fat percentage
female,Asian,DM,529.682070820756,426.57829390922564,632.7858477322865,Visceral fat mass
female,Asian,NoDM,309.7620489852115,288.15722555685363,331.36687241356935,Visceral fat mass
female,Asian,PreDM,367.0690476253231,325.3521015354112,408.785993715235,Visceral fat mass
female,Hispanic,DM,704.934964599452,658.6121515096985,751.2577776892055,Visceral fat mass
female,Hispanic,NoDM,447.9425841756908,419.8367871767337,476.04838117464783,Visceral fat mass
female,Hispanic,PreDM,564.5484147682366,527.2283047436417,601.8685247928315,Visceral fat mass
female,NHBlack,DM,560.7121979859656,514.5313172167032,606.8930787552281,Visceral fat mass
female,NHBlack,NoDM,349.65883755140953,324.1826151173729,375.13505998544616,Visceral fat mass
female,NHBlack,PreDM,436.8446547019241,406.62218709840715,467.06712230544105,Visceral fat mass
female,NHWhite,DM,805.0618274511871,719.6134613308121,890.5101935715621,Visceral fat mass
female,NHWhite,NoDM,360.1573439030578,337.12128007743485,383.1934077286807,Visceral fat mass
female,NHWhite,PreDM,546.7704181938258,506.68033928903986,586.8604970986116,Visceral fat mass
male,Asian,DM,548.2645248693188,501.4169458096256,595.112103929012,Visceral fat mass
male,Asian,NoDM,415.1644919041538,391.0081241314722,439.3208596768354,Visceral fat mass
male,Asian,PreDM,445.8858887825681,424.3790133286038,467.3927642365324,Visceral fat mass
male,Hispanic,DM,663.4601356499091,608.0672792306935,718.8529920691248,Visceral fat mass
male,Hispanic,NoDM,489.33691708326023,460.67325670029174,518.0005774662287,Visceral fat mass
male,Hispanic,PreDM,559.2364527587181,535.3305755899088,583.1423299275274,Visceral fat mass
male,NHBlack,DM,577.247396709267,490.9208067007905,663.5739867177435,Visceral fat mass
male,NHBlack,NoDM,332.73069142048274,317.91230252481347,347.54908031615196,Visceral fat mass
male,NHBlack,PreDM,392.2919873617577,369.7778191084275,414.80615561508796,Visceral fat mass
male,NHWhite,DM,764.0249903611036,705.8577985386243,822.1921821835829,Visceral fat mass
male,NHWhite,NoDM,456.77834328410574,437.00534365130443,476.55134291690706,Visceral fat mass
male,NHWhite,PreDM,548.4012058794934,521.8514998820009,574.950911876986,Visceral fat mass
female,Asian,DM,1715.9045201507843,1424.386760370502,2007.4222799310664,Subcutaneous fat mass
female,Asian,NoDM,1302.3072862072108,1230.1426121491506,1374.471960265271,Subcutaneous fat mass
female,Asian,PreDM,1558.7271492311654,1453.0123930715795,1664.4419053907513,Subcutaneous fat mass
female,Hispanic,DM,2330.0900964862003,2185.275226482456,2474.9049664899444,Subcutaneous fat mass
female,Hispanic,NoDM,1847.1406110978367,1750.9612145474873,1943.320007648186,Subcutaneous fat mass
female,Hispanic,PreDM,2055.108941194978,1968.462925993059,2141.754956396897,Subcutaneous fat mass
female,NHBlack,DM,2635.564704827748,2489.402566618806,2781.72684303669,Subcutaneous fat mass
female,NHBlack,NoDM,1892.5788042390502,1782.7388901054596,2002.4187183726406,Subcutaneous fat mass
female,NHBlack,PreDM,2330.213015432892,2205.618566467181,2454.807464398603,Subcutaneous fat mass
female,NHWhite,DM,2509.4275729922524,2293.364434459298,2725.4907115252067,Subcutaneous fat mass
female,NHWhite,NoDM,1653.3479878847027,1576.2286001499178,1730.4673756194875,Subcutaneous fat mass
female,NHWhite,PreDM,2117.774575620074,2008.8382338253473,2226.7109174148004,Subcutaneous fat mass
male,Asian,DM,1195.4805346624848,1077.058861030517,1313.9022082944527,Subcutaneous fat mass
male,Asian,NoDM,918.1408272035662,832.3782715334144,1003.9033828737181,Subcutaneous fat mass
male,Asian,PreDM,1105.5186952579083,1037.2941307690382,1173.7432597467784,Subcutaneous fat mass
male,Hispanic,DM,1625.7695494904845,1476.2777013977343,1775.2613975832346,Subcutaneous fat mass
male,Hispanic,NoDM,1250.8780459510422,1147.2756961825255,1354.4803957195588,Subcutaneous fat mass
male,Hispanic,PreDM,1434.8585640937863,1356.4762770040882,1513.2408511834844,Subcutaneous fat mass
male,NHBlack,DM,1752.3859193122398,1549.0470376746914,1955.7248009497882,Subcutaneous fat mass
male,NHBlack,NoDM,877.6508903317779,774.633539377254,980.6682412863017,Subcutaneous fat mass
male,NHBlack,PreDM,1231.6426893580813,1110.550954686796,1352.7344240293664,Subcutaneous fat mass
male,NHWhite,DM,1809.5125052813653,1640.9732948635512,1978.051715699179,Subcutaneous fat mass
male,NHWhite,NoDM,1125.0879806067044,1060.2950816620582,1189.8808795513505,Subcutaneous fat mass
male,NHWhite,PreDM,1409.603210388413,1341.8008554141695,1477.4055653626563,Subcutaneous fat mass
female,Asian,DM,93.3899721095751,86.37855835588574,100.40138586326445,Waist circumference
female,Asian,NoDM,80.31128588251102,79.00671093475081,81.61586083027122,Waist circumference
female,Asian,PreDM,86.17309622659283,83.87664031764874,88.46955213553693,Waist circumference
female,Hispanic,DM,105.78160829758669,102.70469320385727,108.8585233913161,Waist circumference
female,Hispanic,NoDM,92.60207501294198,90.47822655956232,94.72592346632165,Waist circumference
female,Hispanic,PreDM,97.01116058915821,95.03501856622972,98.9873026120867,Waist circumference
female,NHBlack,DM,112.3965388743977,109.34223248607525,115.45084526272016,Waist circumference
female,NHBlack,NoDM,93.58776902136606,91.61982217733998,95.55571586539213,Waist circumference
female,NHBlack,PreDM,103.50307748677392,100.85018376645628,106.15597120709155,Waist circumference
female,NHWhite,DM,113.38434113536167,109.0008574593387,117.76782481138463,Waist circumference
female,NHWhite,NoDM,89.54233611055152,88.06691465857367,91.01775756252937,Waist circumference
female,NHWhite,PreDM,100.25749713792273,98.07140027256833,102.44359400327713,Waist circumference
male,Asian,DM,94.69802336963237,91.82636847700111,97.56967826226362,Waist circumference
male,Asian,NoDM,87.2695732271004,85.38741160112818,89.15173485307261,Waist circumference
male,Asian,PreDM,91.3537466366688,89.9447796796315,92.76271359370611,Waist circumference
male,Hispanic,DM,105.6832122733073,102.38078073128973,108.98564381532488,Waist circumference
male,Hispanic,NoDM,96.26594282909402,94.19691268362209,98.33497297456594,Waist circumference
male,Hispanic,PreDM,100.40184988614294,98.91643654414104,101.88726322814485,Waist circumference
male,NHBlack,DM,108.66455885600371,104.00693777442716,113.32217993758026,Waist circumference
male,NHBlack,NoDM,88.65075198711949,86.52190565661185,90.77959831762713,Waist circumference
male,NHBlack,PreDM,96.71560160990985,94.23264790130627,99.19855531851344,Waist circumference
male,NHWhite,DM,112.84438488289327,109.03492049171373,116.6538492740728,Waist circumference
male,NHWhite,NoDM,94.92298188021019,93.57552969315516,96.27043406726521,Waist circumference
male,NHWhite,PreDM,101.03410658556191,99.55905153222214,102.50916163890169,Waist circumference
female,Asian,DM,0.5945556381708635,0.5528291618918939,0.6362821144498332,Waist-to-Height ratio
female,Asian,NoDM,0.5092886936810925,0.4997208356675508,0.5188565516946342,Waist-to-Height ratio
female,Asian,PreDM,0.5488865707031664,0.5332311701055237,0.5645419713008091,Waist-to-Height ratio
female,Hispanic,DM,0.673985143759348,0.655565154805968,0.6924051327127281,Waist-to-Height ratio
female,Hispanic,NoDM,0.5807062378523796,0.5683950959339389,0.5930173797708204,Waist-to-Height ratio
female,Hispanic,PreDM,0.6158974710355466,0.6035504842169226,0.6282444578541706,Waist-to-Height ratio
female,NHBlack,DM,0.6816129578748047,0.6632631838859535,0.6999627318636559,Waist-to-Height ratio
female,NHBlack,NoDM,0.5713904046328192,0.5596517168725931,0.5831290923930453,Waist-to-Height ratio
female,NHBlack,PreDM,0.6336233012949817,0.6168662051457814,0.650380397444182,Waist-to-Height ratio
female,NHWhite,DM,0.6869145568143459,0.6604437351900682,0.7133853784386236,Waist-to-Height ratio
female,NHWhite,NoDM,0.546607182691768,0.5373568611356718,0.5558575042478642,Waist-to-Height ratio
female,NHWhite,PreDM,0.6109942375585962,0.597553532101638,0.6244349430155544,Waist-to-Height ratio
male,Asian,DM,0.5540390527484327,0.5396842005242953,0.56839390497257,Waist-to-Height ratio
male,Asian,NoDM,0.5082354412291445,0.49676059175222925,0.5197102907060599,Waist-to-Height ratio
male,Asian,PreDM,0.5325236932818714,0.5243685579891599,0.5406788285745829,Waist-to-Height ratio
male,Hispanic,DM,0.6222385946944148,0.6022826278691953,0.6421945615196343,Waist-to-Height ratio
male,Hispanic,NoDM,0.560521625226981,0.54880021745918806,0.572243032994774,Waist-to-Height ratio
male,Hispanic,PreDM,0.58949129552473,0.5808124429832571,0.598170148066203,Waist-to-Height ratio
male,NHBlack,DM,0.6137378078605967,0.5873216537204354,0.640153962000758,Waist-to-Height ratio
