year,dm,estimate,CI_lower,CI_upper,variable
2011-2012,DM,33.69690371916686,32.58498014031671,34.808827298017015,BMI
2011-2012,NoDM,25.87602170382738,25.296663198098997,26.455380209555763,BMI
2011-2012,PreDM,28.670282600485326,27.988833116607513,29.35173208436314,BMI
2013-2014,DM,32.541851461531046,31.048134034094154,34.03556888896794,BMI
2013-2014,NoDM,26.234162171430157,25.65201716439455,26.816307178465763,BMI
2013-2014,PreDM,29.5419143553194,28.82483289555455,30.258995815084248,BMI
2015-2016,DM,31.881801336800905,30.828906310935025,32.934696362666784,BMI
2015-2016,NoDM,26.34944336819281,25.39712832124368,27.301758415141936,BMI
2015-2016,PreDM,29.354084628360674,28.594901733097206,30.113267523624142,BMI
2017-2018,DM,32.12318848108658,30.215424466543475,34.030952495629684,BMI
2017-2018,NoDM,25.31931007110294,24.408313163659844,26.230306978546036,BMI
2017-2018,PreDM,28.568916528559214,27.70329896432591,29.434534092792518,BMI
2011-2012,DM,35.57738888382965,34.49219731128002,36.662580456379274,Fat percentage
2011-2012,NoDM,30.975581800835634,30.232799448482993,31.718364153188276,Fat percentage
2011-2012,PreDM,33.178927024263096,32.42442590539212,33.93342814313407,Fat percentage
2013-2014,DM,35.43409402896496,34.2856153367853,36.582572721144615,Fat percentage
2013-2014,NoDM,31.381980231857987,30.728441229021527,32.03551923469445,Fat percentage
2013-2014,PreDM,33.85142395900445,33.205689861991004,34.497158056017895,Fat percentage
2015-2016,DM,34.51281185457189,33.448183590961676,35.57744011818211,Fat percentage
2015-2016,NoDM,30.801228782053485,29.614940952020582,31.987516612086388,Fat percentage
2015-2016,PreDM,33.18965684682903,32.64739505023985,33.73191864341821,Fat percentage
2017-2018,DM,34.9973347212083,34.09861249223619,35.8960569501804,Fat percentage
2017-2018,NoDM,29.97389577210567,29.049000500428484,30.898791043782857,Fat percentage
2017-2018,PreDM,33.116881779560586,32.35208951362225,33.88167404549892,Fat percentage
2011-2012,DM,714.2438477657788,668.0257575074262,760.4619380241314,Visceral fat mass
2011-2012,NoDM,376.8950299814648,355.8593133491965,397.9307466137331,Visceral fat mass
2011-2012,PreDM,490.05450876983394,465.97753954222014,514.1314779974477,Visceral fat mass
2013-2014,DM,670.9865166832848,610.4043299234314,731.568703443138,Visceral fat mass
2013-2014,NoDM,382.02855223951235,362.3206752090502,401.7364292699745,Visceral fat mass
2013-2014,PreDM,517.4004225101797,491.20967201368387,543.5911730066756,Visceral fat mass
2015-2016,DM,660.3174974545151,602.1857809566186,718.4492139524116,Visceral fat mass
2015-2016,NoDM,388.2477756486617,358.14079634365527,418.3547549536681,Visceral fat mass
2015-2016,PreDM,510.92505123771303,476.0959520155356,545.7541504598905,Visceral fat mass
2017-2018,DM,639.7100903078938,588.4575339459522,690.9626466698354,Visceral fat mass
2017-2018,NoDM,334.29144687463594,302.64337192925075,365.9395218200211,Visceral fat mass
2017-2018,PreDM,459.00656722713995,430.29465438728903,487.7184800669909,Visceral fat mass
