sex,year,dm,estimate,CI_lower,CI_upper,variable
female,2011-2012,DM,36.80450596729263,35.19918910670573,38.40982282787952,BMI
female,2011-2012,NoDM,25.495061473725656,24.806134583092664,26.183988364358648,BMI
female,2011-2012,PreDM,29.243212527123593,27.66668057662364,30.819744477623544,BMI
female,2013-2014,DM,34.22663364047565,31.342151785477785,37.111115495473506,BMI
female,2013-2014,NoDM,26.351739749692197,25.761004069622143,26.94247542976225,BMI
female,2013-2014,PreDM,31.053736156880774,29.937220458339247,32.1702518554223,BMI
female,2015-2016,DM,31.349821017849518,29.93851133364392,32.76113070205511,BMI
female,2015-2016,NoDM,26.640211276201622,25.55332275450131,27.727099797901936,BMI
female,2015-2016,PreDM,30.463562171870638,29.53134203174858,31.395782311992697,BMI
female,2017-2018,DM,33.63414609648303,30.56785708905503,36.700435103911026,BMI
female,2017-2018,NoDM,25.36972459314201,24.117133803771388,26.62231538251263,BMI
female,2017-2018,PreDM,29.071087191361226,27.708016638816286,30.434157743906166,BMI
male,2011-2012,DM,31.05634248039051,29.702465545014707,32.410219415766306,BMI
male,2011-2012,NoDM,26.39873889956,25.791888460661923,27.00558933845808,BMI
male,2011-2012,PreDM,28.173268781136862,27.60680577032503,28.739731791948696,BMI
male,2013-2014,DM,31.413810089015588,29.733378299375165,33.09424187865601,BMI
male,2013-2014,NoDM,26.189196734880994,25.403069170598627,26.97532429916336,BMI
male,2013-2014,PreDM,28.355751981956924,27.49166965770468,29.21983430620917,BMI
male,2015-2016,DM,32.27496795248014,30.371767747373607,34.17816815758667,BMI
male,2015-2016,NoDM,26.139299558032278,24.916483183601933,27.362115932462622,BMI
male,2015-2016,PreDM,28.356565465496747,27.484171327579592,29.2289596034139,BMI
male,2017-2018,DM,30.704676606708887,28.322192516959753,33.08716069645802,BMI
male,2017-2018,NoDM,25.407492748192993,24.338338943112408,26.476646553273575,BMI
male,2017-2018,PreDM,28.106994806212985,27.113092491951672,29.100897120474297,BMI
female,2011-2012,DM,42.1346816449986,40.18409090303274,44.08527238696446,Fat percentage
female,2011-2012,NoDM,36.734247338445215,35.86578077587888,37.60271390101155,Fat percentage
female,2011-2012,PreDM,38.90978036010988,37.56749144164509,40.252069278574666,Fat percentage
female,2013-2014,DM,41.174972972357985,39.40680520203021,42.943140742685756,Fat percentage
female,2013-2014,NoDM,36.86075420804758,36.069605138928985,37.65190327716618,Fat percentage
female,2013-2014,PreDM,40.37254169373736,39.26726335982724,41.47782002764748,Fat percentage
female,2015-2016,DM,39.82903815890228,38.49825036305121,41.159825954753344,Fat percentage
female,2015-2016,NoDM,36.78210400547171,35.469169885280834,38.09503812566258,Fat percentage
female,2015-2016,PreDM,39.62220168521261,38.871758017095345,40.37264535332987,Fat percentage
female,2017-2018,DM,40.591448748158115,39.129956921927125,42.052940574389105,Fat percentage
female,2017-2018,NoDM,35.72365541694814,34.339603231344924,37.10770760255136,Fat percentage
female,2017-2018,PreDM,39.13570745560876,37.6567959954425,40.61461891577502,Fat percentage
male,2011-2012,DM,29.150617642386575,28.18473816852455,30.1164971162486,Fat percentage
male,2011-2012,NoDM,25.232623382494936,24.405602172440574,26.059644592549297,Fat percentage
male,2011-2012,PreDM,27.39320186375719,26.66846234943344,28.117941378080943,Fat percentage
male,2013-2014,DM,29.647803282783116,28.281553991242436,31.014052574323795,Fat percentage
male,2013-2014,NoDM,25.97461230549635,25.22713237346344,26.72209223752926,Fat percentage
male,2013-2014,PreDM,27.514625604716517,26.613709176305477,28.415542033127558,Fat percentage
male,2015-2016,DM,29.11304941079776,27.411368017373466,30.814730804222055,Fat percentage
male,2015-2016,NoDM,24.77058755416271,23.385299011798917,26.1558760965265,Fat percentage
male,2015-2016,PreDM,26.836916351364376,26.192255766696444,27.481576936032308,Fat percentage
male,2017-2018,DM,29.39777650860004,27.61290163081076,31.182651386389317,Fat percentage
male,2017-2018,NoDM,24.2613827813944,22.910582086941968,25.61218347584683,Fat percentage
male,2017-2018,PreDM,27.151629467763225,26.155271620774464,28.147987314751987,Fat percentage
female,2011-2012,DM,784.4456171535171,707.8997002068894,860.9915341001448,Visceral fat mass
female,2011-2012,NoDM,329.0348462151282,301.2448339467283,356.8248584835281,Visceral fat mass
female,2011-2012,PreDM,482.79738343869195,447.12281262927627,518.4719542481076,Visceral fat mass
female,2013-2014,DM,665.0760518384595,598.7846820305955,731.3674216463236,Visceral fat mass
female,2013-2014,NoDM,343.5637823663999,314.9637040470435,372.1638606857563,Visceral fat mass
female,2013-2014,PreDM,542.0039314583531,498.14887657235323,585.8589863443531,Visceral fat mass
female,2015-2016,DM,628.0707207531187,537.8489864011232,718.2924551051143,Visceral fat mass
female,2015-2016,NoDM,362.72651208899134,324.7116717794247,400.741352398558,Visceral fat mass
female,2015-2016,PreDM,506.4725053725996,443.9783425604078,568.9666681847914,Visceral fat mass
female,2017-2018,DM,671.6619740315659,560.3056224820012,783.0183255811306,Visceral fat mass
female,2017-2018,NoDM,309.99059386993866,263.40790109360034,356.5732866462769,Visceral fat mass
female,2017-2018,PreDM,463.7363754890135,408.5370034243326,518.9357475536943,Visceral fat mass
male,2011-2012,DM,659.7190908829738,605.8439567000366,713.5942250659109,Visceral fat mass
male,2011-2012,NoDM,429.6738874195571,408.6992770988921,450.6484977402221,Visceral fat mass
male,2011-2012,PreDM,502.09016716168105,476.7080423351165,527.4722919882456,Visceral fat mass
male,2013-2014,DM,682.9675695810242,614.3601808532258,751.5749583088227,Visceral fat mass
male,2013-2014,NoDM,424.53735841785993,396.1180578839246,452.95665895179525,Visceral fat mass
male,2013-2014,PreDM,505.4217550210519,475.0820215529615,535.7614884891424,Visceral fat mass
male,2015-2016,DM,691.2548607691306,613.5816084659866,768.9281130722745,Visceral fat mass
male,2015-2016,NoDM,417.574106862287,381.70432794043734,453.4438857841367,Visceral fat mass
male,2015-2016,PreDM,517.8410537440415,481.0354813174464,554.6466261706365,Visceral fat mass
male,2017-2018,DM,611.8991833535363,529.277462324232,694.5209043828405,Visceral fat mass
male,2017-2018,NoDM,360.8773360694979,328.9256595250432,392.8290126139526,Visceral fat mass
male,2017-2018,PreDM,463.34264264472733,431.9023003169032,494.78298497255145,Visceral fat mass
