year,dm,estimate,CI_lower,CI_upper,variable
2011-2012,female,27.684841044366646,26.91750459169311,28.452177497040182,BMI
2011-2012,male,27.767340311666334,27.27375338620943,28.260927237123237,BMI
2013-2014,female,28.337409103870385,27.724511349092396,28.950306858648375,BMI
2013-2014,male,27.693455279914794,26.965874260456573,28.421036299373014,BMI
2015-2016,female,28.56710433663742,27.92592755733131,29.20828111594353,BMI
2015-2016,male,28.05042044865047,27.28684971688969,28.81399118041125,BMI
2017-2018,female,27.569522892708076,26.328588254316077,28.810457531100074,BMI
2017-2018,male,27.486423332181644,26.682230129619636,28.290616534743652,BMI
2011-2012,female,37.92967934878957,37.16518199102049,38.69417670655865,Fat percentage
2011-2012,male,26.675508823788903,26.031612193387627,27.31940545419018,Fat percentage
2013-2014,female,38.255810397111574,37.57038201582669,38.94123877839646,Fat percentage
2013-2014,male,27.049206268289485,26.31488854132579,27.78352399525318,Fat percentage
2015-2016,female,38.18087696709858,37.424072492817146,38.93768144138001,Fat percentage
2015-2016,male,26.37588230721703,25.785558400430308,26.96620621400375,Fat percentage
2017-2018,female,37.535075265662506,36.320111395716424,38.75003913560859,Fat percentage
2017-2018,male,26.4039580994559,25.62491926515576,27.182996933756037,Fat percentage
2011-2012,female,418.4393069116935,389.01935102819914,447.8592627951879,Visceral fat mass
2011-2012,male,489.5584598682214,472.01661629813924,507.10030343830357,Visceral fat mass
2013-2014,female,426.97964050430164,400.03066421325923,453.92861679534406,Visceral fat mass
2013-2014,male,487.95733331328205,461.6557115997159,514.2589550268482,Visceral fat mass
2015-2016,female,443.4006547234802,411.3989441884901,475.40236525847035,Visceral fat mass
2015-2016,male,503.4631269903822,475.83225727514935,531.093996705615,Visceral fat mass
2017-2018,female,403.04887832087155,354.6720361396723,451.4257205020708,Visceral fat mass
2017-2018,male,444.17022565064707,423.69418808025637,464.64626322103777,Visceral fat mass
