outcome,model_type,predictor,PR,CI_low,CI_high,p,N
DM vs NoDM,single,bmi,1.8488180430914694,1.717560224034472,1.9901067273388178,8.7719828321693085e-23,5168
DM vs NoDM,single,fat_percentage,2.0076244291322296,1.7184328396019888,2.345483486792559,4.7163369832721296e-12,5168
DM vs NoDM,single,visceral_fat,2.0407535428895245,1.9028109379870055,2.188696175575898,7.013535037068192e-27,5168
DM vs NoDM,single,waistcircumference,2.003574805076046,1.8426658956382629,2.178534919997006,1.1194297224745166e-22,5168
DM vs NoDM,single,WHtR,2.038368760162474,1.8693138717460829,2.22271244289503,1.6959966198902316e-22,5168
DM vs NoDM,incremental,fat_percentage,0.9010264345200122,0.71696865372024,1.1323349096104667,0.3753093336027412,5168
DM vs NoDM,incremental,visceral_fat,1.7066985108876547,1.566728340515829,1.8591734966044733,3.2898113548921614e-17,5168
DM vs NoDM,incremental,waistcircumference,2.3585290016468594,1.8838751311254112,2.952774820211276,6.741088084543444e-10,5168
DM vs NoDM,incremental,WHtR,2.413945372017587,1.8170549266964133,3.206910354481926,1.2642946145259017e-7,5168
PreDM vs NoDM,single,bmi,1.296694046297713,1.2508528022275722,1.344215279935096,5.648756556910195e-20,5168
PreDM vs NoDM,single,fat_percentage,1.3644022466526131,1.2879299731762492,1.445415146352794,7.689071262568332e-15,5168
PreDM vs NoDM,single,visceral_fat,1.3127970913108822,1.2661764751707136,1.3611342784756353,9.077128490514943e-21,5168
PreDM vs NoDM,single,waistcircumference,1.3276429909182748,1.2735166683684402,1.3840697614053334,6.895400854237459e-19,5168
PreDM vs NoDM,single,WHtR,1.3429817527461565,1.2905899735623025,1.3975003875404515,1.798997991280231e-20,5168
PreDM vs NoDM,incremental,fat_percentage,1.0881806491513177,0.9945889085802653,1.1905794594851153,0.07100622192397939,5168
PreDM vs NoDM,incremental,visceral_fat,1.1793276509405013,1.1210383881750323,1.24064770925194,4.2007839622996954e-8,5168
PreDM vs NoDM,incremental,waistcircumference,1.2849524389576539,1.1241771840556793,1.468721117810416,5.456205805855633e-4,5168
PreDM vs NoDM,incremental,WHtR,1.398827799593733,1.205488719188586,1.6231750507240852,4.7600734707077605e-5,5168
