outcome,model_type,added_predictor,AUC,AUC_diff,p_delong,N
DM vs NoDM,base,bmi_only,0.8167735261125239,NA,NA,5168
DM vs NoDM,incremental,fat_percentage,0.8174391345027328,6.656083902089049e-4,0.33043856475171735,5168
DM vs NoDM,incremental,visceral_fat,0.8348913514517428,0.018117825339218907,3.091240386699774e-7,5168
DM vs NoDM,incremental,waistcircumference,0.8303483162385475,0.013574790126023695,6.514945685063231e-5,5168
DM vs NoDM,incremental,WHtR,0.8301205415042555,0.013347015391731665,3.841424411235247e-5,5168
PreDM vs NoDM,base,bmi_only,0.6449120357948492,NA,NA,5168
PreDM vs NoDM,incremental,fat_percentage,0.6454682689778438,5.56233182994581e-4,0.5820379620515586,5168
PreDM vs NoDM,incremental,visceral_fat,0.6454271928197015,5.151570248522752e-4,0.08963349559340061,5168
PreDM vs NoDM,incremental,waistcircumference,0.6451919736876981,2.799378928488583e-4,0.469113840931028,5168
PreDM vs NoDM,incremental,WHtR,0.6461912093611479,0.001279173566298697,0.2379806872164592,5168
