"","sex","race_eth","dm","estimate","CI_lower","CI_upper","variable","value"
"1","WOMEN","Asian","DM",28.1174133474684,25.2820915555849,30.952735139352,"BMI","  28.1 (25.3, 31.0)"
"2","WOMEN","Asian","NoDM",22.7016838297712,22.0683720076414,23.3349956519009,"BMI","  22.7 (22.1, 23.3)"
"3","WOMEN","Asian","PreDM",25.2684680498487,24.245495513244,26.2914405864535,"BMI","  25.3 (24.2, 26.3)"
"4","WOMEN","Hispanic","DM",34.5181691090389,33.1647214583765,35.8716167597014,"BMI","  34.5 (33.2, 35.9)"
"5","WOMEN","Hispanic","NoDM",27.8793658235541,27.1341599731348,28.6245716739734,"BMI","  27.9 (27.1, 28.6)"
"6","WOMEN","Hispanic","PreDM",30.4241906054657,29.5355131292058,31.3128680817257,"BMI","  30.4 (29.5, 31.3)"
"7","WOMEN","NHBlack","DM",36.1744200089285,34.6616205325464,37.6872194853106,"BMI","  36.2 (34.7, 37.7)"
"8","WOMEN","NHBlack","NoDM",28.9441487706419,28.0923746558383,29.7959228854456,"BMI","  28.9 (28.1, 29.8)"
"9","WOMEN","NHBlack","PreDM",33.2001241844073,31.9347591760714,34.4654891927432,"BMI","  33.2 (31.9, 34.5)"
"10","WOMEN","NHWhite","DM",35.2297592259847,33.1097051449037,37.3498133070657,"BMI","  35.2 (33.1, 37.3)"
"11","WOMEN","NHWhite","NoDM",26.2792098256214,25.6730620560036,26.8853575952393,"BMI","  26.3 (25.7, 26.9)"
"12","WOMEN","NHWhite","PreDM",30.6491074653049,29.6891275802892,31.6090873503207,"BMI","  30.6 (29.7, 31.6)"
"13","MEN","Asian","DM",27.2052796761929,26.2278506591878,28.1827086931981,"BMI","  27.2 (26.2, 28.2)"
"14","MEN","Asian","NoDM",24.145883312443,23.4246429396799,24.8671236852062,"BMI","  24.1 (23.4, 24.9)"
"15","MEN","Asian","PreDM",25.8564260181256,25.3276376136979,26.3852144225532,"BMI","  25.9 (25.3, 26.4)"
"16","MEN","Hispanic","DM",31.6998516924594,30.261149163709,33.1385542212098,"BMI","  31.7 (30.3, 33.1)"
"17","MEN","Hispanic","NoDM",27.9039343409232,27.0890837196767,28.7187849621696,"BMI","  27.9 (27.1, 28.7)"
"18","MEN","Hispanic","PreDM",29.6361572414468,29.0848529626509,30.1874615202427,"BMI","  29.6 (29.1, 30.2)"
"19","MEN","NHBlack","DM",32.3479532651403,30.5536698631896,34.1422366670909,"BMI","  32.3 (30.6, 34.1)"
"20","MEN","NHBlack","NoDM",25.8401053204487,25.0213512169486,26.6588594239488,"BMI","  25.8 (25.0, 26.7)"
"21","MEN","NHBlack","PreDM",28.7946740908837,27.8919680192626,29.6973801625049,"BMI","  28.8 (27.9, 29.7)"
"22","MEN","NHWhite","DM",32.7949977569535,31.1491352745091,34.4408602393979,"BMI","  32.8 (31.1, 34.4)"
"23","MEN","NHWhite","NoDM",26.7573661955522,26.2531135919719,27.2616187991325,"BMI","  26.8 (26.3, 27.3)"
"24","MEN","NHWhite","PreDM",28.8189136145838,28.2186671708549,29.4191600583126,"BMI","  28.8 (28.2, 29.4)"
"25","WOMEN","Asian","DM",37.7913512541088,34.3860128847274,41.1966896234903,"Fat percentage","  37.8 (34.4, 41.2)"
"26","WOMEN","Asian","NoDM",35.0630557212512,34.1740022470527,35.9521091954498,"Fat percentage","  35.1 (34.2, 36.0)"
"27","WOMEN","Asian","PreDM",36.8761874973295,35.9307341833679,37.821640811291,"Fat percentage","  36.9 (35.9, 37.8)"
"28","WOMEN","Hispanic","DM",41.8372793202898,40.9968619663651,42.6776966742146,"Fat percentage","  41.8 (41.0, 42.7)"
"29","WOMEN","Hispanic","NoDM",38.9294768633935,38.1826402864676,39.6763134403195,"Fat percentage","  38.9 (38.2, 39.7)"
"30","WOMEN","Hispanic","PreDM",40.4607002381899,39.7602325371979,41.1611679391819,"Fat percentage","  40.5 (39.8, 41.2)"
"31","WOMEN","NHBlack","DM",41.3353933062247,40.1432631204046,42.5275234920448,"Fat percentage","  41.3 (40.1, 42.5)"
"32","WOMEN","NHBlack","NoDM",37.6911928776056,36.7650311390837,38.6173546161274,"Fat percentage","  37.7 (36.8, 38.6)"
"33","WOMEN","NHBlack","PreDM",40.4752848194881,39.5584705492506,41.3920990897255,"Fat percentage","  40.5 (39.6, 41.4)"
"34","WOMEN","NHWhite","DM",41.6601390890112,40.1024210467459,43.2178571312766,"Fat percentage","  41.7 (40.1, 43.2)"
"35","WOMEN","NHWhite","NoDM",36.6834080323431,35.9686905709259,37.3981254937604,"Fat percentage","  36.7 (36.0, 37.4)"
"36","WOMEN","NHWhite","PreDM",40.0441415303803,39.1642853506084,40.9239977101521,"Fat percentage","  40.0 (39.2, 40.9)"
"37","MEN","Asian","DM",27.56897698193,26.2868108717666,28.8511430920935,"Fat percentage","  27.6 (26.3, 28.9)"
"38","MEN","Asian","NoDM",25.4852020396407,24.4962587912243,26.4741452880572,"Fat percentage","  25.5 (24.5, 26.5)"
"39","MEN","Asian","PreDM",26.8987172863032,26.1704887382258,27.6269458343806,"Fat percentage","  26.9 (26.2, 27.6)"
"40","MEN","Hispanic","DM",29.5466861796871,28.2951817339093,30.798190625465,"Fat percentage","  29.5 (28.3, 30.8)"
"41","MEN","Hispanic","NoDM",27.2141958833395,26.3339366152144,28.0944551514647,"Fat percentage","  27.2 (26.3, 28.1)"
"42","MEN","Hispanic","PreDM",28.5375622964835,27.8321006962202,29.2430238967468,"Fat percentage","  28.5 (27.8, 29.2)"
"43","MEN","NHBlack","DM",28.6994823286356,26.9952429258468,30.4037217314244,"Fat percentage","  28.7 (27.0, 30.4)"
"44","MEN","NHBlack","NoDM",22.4564751201109,21.474779672509,23.4381705677128,"Fat percentage","  22.5 (21.5, 23.4)"
"45","MEN","NHBlack","PreDM",24.9987675026844,24.0051587359983,25.9923762693705,"Fat percentage","  25.0 (24.0, 26.0)"
"46","MEN","NHWhite","DM",30.38239099428,29.0423328201655,31.7224491683946,"Fat percentage","  30.4 (29.0, 31.7)"
"47","MEN","NHWhite","NoDM",25.8557828821741,25.1992588089748,26.5123069553734,"Fat percentage","  25.9 (25.2, 26.5)"
"48","MEN","NHWhite","PreDM",27.8572494526965,27.2819400479351,28.432558857458,"Fat percentage","  27.9 (27.3, 28.4)"
"49","WOMEN","Asian","DM",529.682070820756,426.578293909226,632.785847732286,"Visceral fat mass"," 529.7 (426.6, 632.8)"
"50","WOMEN","Asian","NoDM",309.762048985211,288.157225556854,331.366872413569,"Visceral fat mass"," 309.8 (288.2, 331.4)"
"51","WOMEN","Asian","PreDM",367.069047625323,325.352101535411,408.785993715235,"Visceral fat mass"," 367.1 (325.4, 408.8)"
