Variable,female diagnosed diabetes >1y,female newly and undiagnosed diabetes,female non-diabetes,male diagnosed diabetes >1y,male newly and undiagnosed diabetes,male non-diabetes
bmi,34.3(0.4),36.3(0.7),28.8(0.2),32.1(0.4),33.4(1.0),28.9(0.2)
fat_percentage,42.1(0.4),42.5(0.5),38.7(0.2),30.1(0.4),31.1(0.4),27.0(0.1)
waistcircumference,111.1(0.8),112.8(1.3),95.4(0.5),112.5(0.9),113.8(2.2),100.5(0.6)
fasting_glucose,163.3(3.6),143.1(3.2),96.6(0.2),173.5(4.1),148.3(4.2),100.6(0.4)
glycohemoglobin,7.5(0.1),6.9(0.1),5.4(0.0),7.6(0.1),6.8(0.1),5.4(0.0)
sbp,129.9(0.8),129.1(1.1),117.6(0.4),129.8(0.7),128.5(1.5),122.2(0.4)
dbp,68.5(0.6),73.0(0.8),69.4(0.3),72.0(0.6),74.2(1.1),72.4(0.3)
ldl,108.3(2.3),118.3(3.7),111.2(1.5),93.5(1.8),116.3(3.5),112.5(1.2)
hdl,50.6(0.8),50.8(1.3),59.1(0.5),43.4(0.5),41.7(0.7),48.4(0.3)
triglyceride,171.8(12.6),138.3(6.1),96.6(2.1),163.9(9.3),181.1(22.1),121.6(3.1)
total_cholesterol,187.8(2.0),197.3(3.3),190.9(1.5),171.9(2.4),189.4(3.5),186.7(1.3)
