iv,B_D,W_D,theta_D,T_D,gamma_D,nu,nu2,L,U,sqrt_T_D,estimate,mean,lci,uci,model
(Intercept),0.020390959658356345,0.42105550885629084,94.44590841171781,0.4434855644804828,0.050576743462817035,74.50417330009445,3518.364129893879,93.14022687466567,95.75158994876995,0.6659471183813943,"94.45 	 (93.14, 95.75)",94.44590841171781,93.14022687466567,95.75158994876995,SBP_BMI
age,7.256545867744686e-6,9.257572409993172e-5,0.41501407457989337,1.0055792455445088e-4,0.07937912889398281,41.9817297860448,1428.3342561694685,0.3953431663773912,0.43468498278239553,0.010027857425913618,"0.42 	 (0.4, 0.43)",0.41501407457989337,0.3953431663773912,0.43468498278239553,SBP_BMI
bmi,4.703237568633089e-5,4.3399214370176247e-4,0.37529133439097456,4.8572775695672645e-4,0.10651154378968941,30.43283265038326,793.3213651725757,0.33202923005381124,0.4185534387281379,0.02203923222248739,"0.38 	 (0.33, 0.42)",0.37529133439097456,0.33202923005381124,0.4185534387281379,SBP_BMI
female,0.009886360304682791,0.07461412498552154,-3.658511371801108,0.08548912132067261,0.1272091251746358,25.58661521275535,556.1679745067605,-4.232825695740089,-3.0841970478621277,0.2923852276033668,"-3.66 	 (-4.23, -3.08)",-3.658511371801108,-4.232825695740089,-3.0841970478621277,SBP_BMI
race_ethHispanic,0.012144377097445475,0.13852521297398035,-0.2898658240183859,0.15188402778117038,0.08795404627033578,37.34275747439057,1163.404828822347,-1.0545043840527462,0.4747727360159745,0.38972301417952004,"-0.29 	 (-1.05, 0.47)",-0.2898658240183859,-1.0545043840527462,0.4747727360159745,SBP_BMI
race_ethNH Black,0.02386889201623959,0.15944919793160997,4.004466362838862,0.1857049791494735,0.1413843685727475,23.250481444177463,450.2354804339968,3.1575726818074736,4.85136004387025,0.43093500571370796,"4 	 (3.16, 4.85)",4.004466362838862,3.1575726818074736,4.85136004387025,SBP_BMI
race_ethNH White,0.020813398379502208,0.17706676357335865,-1.3871011075585702,0.19996150179081107,0.1144957304901804,28.30436884364702,686.5369635864871,-2.26508712459751,-0.5091150905196304,0.44717055112206466,"-1.39 	 (-2.27, -0.51)",-1.3871011075585702,-2.26508712459751,-0.5091150905196304,SBP_BMI
race_ethOther Race,0.030263644867431164,0.8219097152005297,-0.26924608925511234,0.8551997245547039,0.03892659036052443,108.30178214190013,5939.498537146303,-2.0821315978463404,1.5436394193361158,0.9247700928093987,"-0.27 	 (-2.08, 1.54)",-0.26924608925511234,-2.0821315978463404,1.5436394193361158,SBP_BMI
(Intercept),0.17164252236978464,0.4511370270255827,100.58259702442403,0.6399438016323459,0.2950364924625592,13.814775950203755,103.39297620645635,98.99612703470186,102.16906701414621,0.7999648752491236,"100.58 	 (99, 102.17)",100.58259702442403,98.99612703470186,102.16906701414621,SBP_BF
age,8.420437365633237e-6,1.0175122468320341e-4,0.4204074783877348,1.1101370578539996e-4,0.08343547345497876,39.634490571772226,1292.8288650485806,0.3997373503087494,0.4410776064667202,0.010536304180565401,"0.42 	 (0.4, 0.44)",0.4204074783877348,0.3997373503087494,0.4410776064667202,SBP_BF
fat_percentage,2.1253132897208375e-4,4.270775564417924e-4,0.1065383401736518,6.608620183110845e-4,0.35375684392750784,12.588588765842117,71.91720625091023,0.055290892462101476,0.15778578788520212,0.02570723669146656,"0.11 	 (0.06, 0.16)",0.1065383401736518,0.055290892462101476,0.15778578788520212,SBP_BF
female,0.027586739349959404,0.10843944114506837,-4.36789044043728,0.13878485443002372,0.21865075558555067,16.58159979908186,188.25240990614734,-5.10277664699478,-3.63300423387978,0.37253839322950827,"-4.37 	 (-5.1, -3.63)",-4.36789044043728,-5.10277664699478,-3.63300423387978,SBP_BF
race_ethHispanic,0.009761204870038051,0.14199895750696095,1.2888446865427254,0.15273628286400281,0.07029976869741178,48.54521124752111,1821.1038698776397,0.5223521359356569,2.0553372371497938,0.3908148959085398,"1.29 	 (0.52, 2.06)",1.2888446865427254,0.5223521359356569,2.0553372371497938,SBP_BF
