year_broad,variable,est,value,type,group
2011-2014,age,mean,47.492598756240696,Continuous,NA
2011-2014,age,sd,18.475313612668366,Continuous,NA
2011-2014,age,median,47,Continuous,NA
2011-2014,age,q25,32,Continuous,NA
2011-2014,age,q75,62,Continuous,NA
2011-2014,age,min,18,Continuous,NA
2011-2014,age,max,80,Continuous,NA
2011-2014,age,freq,11417,Continuous,NA
2011-2014,age,missing,0,Continuous,NA
2011-2014,dm_age,mean,59.96250901225667,Continuous,NA
2011-2014,dm_age,sd,98.25724567633397,Continuous,NA
2011-2014,dm_age,median,50,Continuous,NA
2011-2014,dm_age,q25,40,Continuous,NA
2011-2014,dm_age,q75,60,Continuous,NA
2011-2014,dm_age,min,1,Continuous,NA
2011-2014,dm_age,max,999,Continuous,NA
2011-2014,dm_age,freq,1387,Continuous,NA
2011-2014,dm_age,missing,10030,Continuous,NA
2011-2014,waistcircumference,mean,98.05197503260668,Continuous,NA
2011-2014,waistcircumference,sd,16.665818003227354,Continuous,NA
2011-2014,waistcircumference,median,96.6,Continuous,NA
2011-2014,waistcircumference,q25,86,Continuous,NA
2011-2014,waistcircumference,q75,107.8,Continuous,NA
2011-2014,waistcircumference,min,55.5,Continuous,NA
2011-2014,waistcircumference,max,177.9,Continuous,NA
2011-2014,waistcircumference,freq,10734,Continuous,NA
2011-2014,waistcircumference,missing,683,Continuous,NA
2011-2014,fasting_glucose,mean,107.43073716126587,Continuous,NA
2011-2014,fasting_glucose,sd,34.361863564613884,Continuous,NA
2011-2014,fasting_glucose,median,99,Continuous,NA
2011-2014,fasting_glucose,q25,92,Continuous,NA
2011-2014,fasting_glucose,q75,109,Continuous,NA
2011-2014,fasting_glucose,min,39,Continuous,NA
2011-2014,fasting_glucose,max,421,Continuous,NA
2011-2014,fasting_glucose,freq,5277,Continuous,NA
2011-2014,fasting_glucose,missing,6140,Continuous,NA
2011-2014,triglyceride,mean,122.3530538004978,Continuous,NA
2011-2014,triglyceride,sd,109.6618797762525,Continuous,NA
2011-2014,triglyceride,median,98,Continuous,NA
2011-2014,triglyceride,q25,68,Continuous,NA
2011-2014,triglyceride,q75,145.5,Continuous,NA
2011-2014,triglyceride,min,14,Continuous,NA
2011-2014,triglyceride,max,4233,Continuous,NA
2011-2014,triglyceride,freq,5223,Continuous,NA
2011-2014,triglyceride,missing,6194,Continuous,NA
2011-2014,ldl,mean,111.44306015183959,Continuous,NA
2011-2014,ldl,sd,35.062804119033636,Continuous,NA
2011-2014,ldl,median,109,Continuous,NA
2011-2014,ldl,q25,86,Continuous,NA
2011-2014,ldl,q75,133,Continuous,NA
2011-2014,ldl,min,9,Continuous,NA
2011-2014,ldl,max,375,Continuous,NA
2011-2014,ldl,freq,5137,Continuous,NA
2011-2014,ldl,missing,6280,Continuous,NA
2011-2014,hdl,mean,52.42674505412467,Continuous,NA
2011-2014,hdl,sd,15.271600813324673,Continuous,NA
2011-2014,hdl,median,50,Continuous,NA
2011-2014,hdl,q25,42,Continuous,NA
2011-2014,hdl,q75,61,Continuous,NA
2011-2014,hdl,min,10,Continuous,NA
2011-2014,hdl,max,175,Continuous,NA
2011-2014,hdl,freq,10716,Continuous,NA
2011-2014,hdl,missing,701,Continuous,NA
2011-2014,total_fat,mean,26921.14166928639,Continuous,NA
2011-2014,total_fat,sd,11940.433848420083,Continuous,NA
2011-2014,total_fat,median,24759.449999999997,Continuous,NA
2011-2014,total_fat,q25,18481.2,Continuous,NA
2011-2014,total_fat,q75,32831.75,Continuous,NA
2011-2014,total_fat,min,4902,Continuous,NA
2011-2014,total_fat,max,102288.7,Continuous,NA
2011-2014,total_fat,freq,6362,Continuous,NA
2011-2014,total_fat,missing,5055,Continuous,NA
2011-2014,fat_percentage,mean,32.48055642879598,Continuous,NA
2011-2014,fat_percentage,sd,8.62974081178451,Continuous,NA
2011-2014,fat_percentage,median,32.2,Continuous,NA
2011-2014,fat_percentage,q25,26,Continuous,NA
2011-2014,fat_percentage,q75,39.3,Continuous,NA
2011-2014,fat_percentage,min,12.1,Continuous,NA
2011-2014,fat_percentage,max,55.4,Continuous,NA
2011-2014,fat_percentage,freq,6362,Continuous,NA
2011-2014,fat_percentage,missing,5055,Continuous,NA
2011-2014,bmi,mean,28.76786952270909,Continuous,NA
2011-2014,bmi,sd,7.042232567919285,Continuous,NA
2011-2014,bmi,median,27.6,Continuous,NA
2011-2014,bmi,q25,23.8,Continuous,NA
2011-2014,bmi,q75,32.2,Continuous,NA
2011-2014,bmi,min,13.4,Continuous,NA
2011-2014,bmi,max,82.9,Continuous,NA
2011-2014,bmi,freq,11251,Continuous,NA
2011-2014,bmi,missing,166,Continuous,NA
2011-2014,glycohemoglobin,mean,5.74592830882353,Continuous,NA
2011-2014,glycohemoglobin,sd,1.0929610258529532,Continuous,NA
2011-2014,glycohemoglobin,median,5.5,Continuous,NA
2011-2014,glycohemoglobin,q25,5.2,Continuous,NA
2011-2014,glycohemoglobin,q75,5.9,Continuous,NA
2011-2014,glycohemoglobin,min,3.5,Continuous,NA
2011-2014,glycohemoglobin,max,17.8,Continuous,NA
2011-2014,glycohemoglobin,freq,10880,Continuous,NA
2011-2014,glycohemoglobin,missing,537,Continuous,NA
2011-2014,sbp,mean,122.99075510142019,Continuous,NA
2011-2014,sbp,sd,18.092431745412604,Continuous,NA
2011-2014,sbp,median,120,Continuous,NA
2011-2014,sbp,q25,110.66666666666667,Continuous,NA
2011-2014,sbp,q75,132,Continuous,NA
2011-2014,sbp,min,64.66666666666667,Continuous,NA
2011-2014,sbp,max,234.66666666666666,Continuous,NA
2011-2014,sbp,freq,10961,Continuous,NA
2011-2014,sbp,missing,456,Continuous,NA
2011-2014,dbp,mean,69.83073320560776,Continuous,NA
2011-2014,dbp,sd,12.759219581842169,Continuous,NA
2011-2014,dbp,median,70.66666666666667,Continuous,NA
2011-2014,dbp,q25,63.333333333333336,Continuous,NA
2011-2014,dbp,q75,77.33333333333333,Continuous,NA
2011-2014,dbp,min,0,Continuous,NA
2011-2014,dbp,max,130,Continuous,NA
2011-2014,dbp,freq,10961,Continuous,NA
2011-2014,dbp,missing,456,Continuous,NA
2015-2018,age,mean,49.134613658799246,Continuous,NA
2015-2018,age,sd,18.539130049238302,Continuous,NA
2015-2018,age,median,50,Continuous,NA
2015-2018,age,q25,33,Continuous,NA
2015-2018,age,q75,64,Continuous,NA
2015-2018,age,min,18,Continuous,NA
2015-2018,age,max,80,Continuous,NA
2015-2018,age,freq,11143,Continuous,NA
2015-2018,age,missing,0,Continuous,NA
2015-2018,dm_age,mean,60.588665447897625,Continuous,NA
2015-2018,dm_age,sd,102.54931992846689,Continuous,NA
2015-2018,dm_age,median,50,Continuous,NA
2015-2018,dm_age,q25,40,Continuous,NA
2015-2018,dm_age,q75,60,Continuous,NA
2015-2018,dm_age,min,3,Continuous,NA
2015-2018,dm_age,max,999,Continuous,NA
2015-2018,dm_age,freq,1641,Continuous,NA
2015-2018,dm_age,missing,9502,Continuous,NA
2015-2018,waistcircumference,mean,99.83924365725227,Continuous,NA
2015-2018,waistcircumference,sd,17.05178587072819,Continuous,NA
2015-2018,waistcircumference,median,98.5,Continuous,NA
2015-2018,waistcircumference,q25,87.7,Continuous,NA
2015-2018,waistcircumference,q75,110,Continuous,NA
2015-2018,waistcircumference,min,56.4,Continuous,NA
2015-2018,waistcircumference,max,171.6,Continuous,NA
2015-2018,waistcircumference,freq,10445,Continuous,NA
2015-2018,waistcircumference,missing,698,Continuous,NA
2015-2018,fasting_glucose,mean,113.44367588932806,Continuous,NA
2015-2018,fasting_glucose,sd,39.10280859191998,Continuous,NA
2015-2018,fasting_glucose,median,103,Continuous,NA
2015-2018,fasting_glucose,q25,96,Continuous,NA
2015-2018,fasting_glucose,q75,114,Continuous,NA
2015-2018,fasting_glucose,min,21,Continuous,NA
2015-2018,fasting_glucose,max,479,Continuous,NA
2015-2018,fasting_glucose,freq,5060,Continuous,NA
2015-2018,fasting_glucose,missing,6083,Continuous,NA
2015-2018,triglyceride,mean,112.34019118869493,Continuous,NA
2015-2018,triglyceride,sd,99.0747615596267,Continuous,NA
2015-2018,triglyceride,median,91,Continuous,NA
2015-2018,triglyceride,q25,61,Continuous,NA
2015-2018,triglyceride,q75,136,Continuous,NA
2015-2018,triglyceride,min,10,Continuous,NA
2015-2018,triglyceride,max,2684,Continuous,NA
2015-2018,triglyceride,freq,4812,Continuous,NA
2015-2018,triglyceride,missing,6331,Continuous,NA
2015-2018,ldl,mean,111.42020497803807,Continuous,NA
2015-2018,ldl,sd,36.17807771502831,Continuous,NA
2015-2018,ldl,median,108,Continuous,NA
2015-2018,ldl,q25,86,Continuous,NA
2015-2018,ldl,q75,133,Continuous,NA
2015-2018,ldl,min,20,Continuous,NA
2015-2018,ldl,max,359,Continuous,NA
2015-2018,ldl,freq,4781,Continuous,NA
2015-2018,ldl,missing,6362,Continuous,NA
2015-2018,hdl,mean,53.55529006976966,Continuous,NA
2015-2018,hdl,sd,16.528419778091163,Continuous,NA
2015-2018,hdl,median,51,Continuous,NA
2015-2018,hdl,q25,42,Continuous,NA
2015-2018,hdl,q75,62,Continuous,NA
2015-2018,hdl,min,6,Continuous,NA
2015-2018,hdl,max,226,Continuous,NA
2015-2018,hdl,freq,10463,Continuous,NA
2015-2018,hdl,missing,680,Continuous,NA
2015-2018,total_fat,mean,27333.220754026355,Continuous,NA
2015-2018,total_fat,sd,11921.654232106095,Continuous,NA
2015-2018,total_fat,median,25246.6,Continuous,NA
2015-2018,total_fat,q25,18783.35,Continuous,NA
2015-2018,total_fat,q75,33814.8,Continuous,NA
2015-2018,total_fat,min,5812.6,Continuous,NA
2015-2018,total_fat,max,86890.2,Continuous,NA
2015-2018,total_fat,freq,5464,Continuous,NA
2015-2018,total_fat,missing,5679,Continuous,NA
2015-2018,fat_percentage,mean,33.02928257686676,Continuous,NA
2015-2018,fat_percentage,sd,8.712770275710366,Continuous,NA
2015-2018,fat_percentage,median,32.9,Continuous,NA
2015-2018,fat_percentage,q25,26.6,Continuous,NA
2015-2018,fat_percentage,q75,40.1,Continuous,NA
2015-2018,fat_percentage,min,11.7,Continuous,NA
2015-2018,fat_percentage,max,56.1,Continuous,NA
2015-2018,fat_percentage,freq,5464,Continuous,NA
2015-2018,fat_percentage,missing,5679,Continuous,NA
2015-2018,bmi,mean,29.523058694859643,Continuous,NA
2015-2018,bmi,sd,7.273591178055405,Continuous,NA
2015-2018,bmi,median,28.4,Continuous,NA
2015-2018,bmi,q25,24.4,Continuous,NA
2015-2018,bmi,q75,33.3,Continuous,NA
2015-2018,bmi,min,14.2,Continuous,NA
2015-2018,bmi,max,86.2,Continuous,NA
2015-2018,bmi,freq,10972,Continuous,NA
2015-2018,bmi,missing,171,Continuous,NA
2015-2018,glycohemoglobin,mean,5.83589428975932,Continuous,NA
2015-2018,glycohemoglobin,sd,1.1297009433512801,Continuous,NA
2015-2018,glycohemoglobin,median,5.6,Continuous,NA
2015-2018,glycohemoglobin,q25,5.3,Continuous,NA
2015-2018,glycohemoglobin,q75,5.9,Continuous,NA
2015-2018,glycohemoglobin,min,3.8,Continuous,NA
2015-2018,glycohemoglobin,max,17,Continuous,NA
2015-2018,glycohemoglobin,freq,10595,Continuous,NA
2015-2018,glycohemoglobin,missing,548,Continuous,NA
2015-2018,sbp,mean,125.78333177613753,Continuous,NA
2015-2018,sbp,sd,19.1830405786709,Continuous,NA
2015-2018,sbp,median,123,Continuous,NA
2015-2018,sbp,q25,112.66666666666667,Continuous,NA
2015-2018,sbp,q75,135.33333333333334,Continuous,NA
2015-2018,sbp,min,72.66666666666667,Continuous,NA
2015-2018,sbp,max,238,Continuous,NA
2015-2018,sbp,freq,10703,Continuous,NA
2015-2018,sbp,missing,440,Continuous,NA
2015-2018,dbp,mean,70.85963437042574,Continuous,NA
2015-2018,dbp,sd,12.791664697445475,Continuous,NA
2015-2018,dbp,median,71.33333333333333,Continuous,NA
2015-2018,dbp,q25,63.333333333333336,Continuous,NA
2015-2018,dbp,q75,78,Continuous,NA
2015-2018,dbp,min,0,Continuous,NA
2015-2018,dbp,max,138.66666666666666,Continuous,NA
2015-2018,dbp,freq,10703,Continuous,NA
2015-2018,dbp,missing,440,Continuous,NA
Total,age,mean,48.303634751773046,Continuous,NA
Total,age,sd,18.524652044333788,Continuous,NA
Total,age,median,48,Continuous,NA
Total,age,q25,32,Continuous,NA
Total,age,q75,63,Continuous,NA
Total,age,min,18,Continuous,NA
Total,age,max,80,Continuous,NA
Total,age,freq,22560,Continuous,NA
Total,age,missing,0,Continuous,NA
Total,dm_age,mean,60.30184940554822,Continuous,NA
Total,dm_age,sd,100.59001381171004,Continuous,NA
Total,dm_age,median,50,Continuous,NA
Total,dm_age,q25,40,Continuous,NA
Total,dm_age,q75,60,Continuous,NA
Total,dm_age,min,1,Continuous,NA
Total,dm_age,max,999,Continuous,NA
Total,dm_age,freq,3028,Continuous,NA
Total,dm_age,missing,19532,Continuous,NA
Total,waistcircumference,mean,98.9334151754096,Continuous,NA
Total,waistcircumference,sd,16.880542027006264,Continuous,NA
Total,waistcircumference,median,97.5,Continuous,NA
Total,waistcircumference,q25,86.7,Continuous,NA
Total,waistcircumference,q75,108.9,Continuous,NA
Total,waistcircumference,min,55.5,Continuous,NA
Total,waistcircumference,max,177.9,Continuous,NA
Total,waistcircumference,freq,21179,Continuous,NA
Total,waistcircumference,missing,1381,Continuous,NA
Total,fasting_glucose,mean,110.37409306375157,Continuous,NA
Total,fasting_glucose,sd,36.87997012488999,Continuous,NA
Total,fasting_glucose,median,101,Continuous,NA
Total,fasting_glucose,q25,94,Continuous,NA
Total,fasting_glucose,q75,112,Continuous,NA
Total,fasting_glucose,min,21,Continuous,NA
Total,fasting_glucose,max,479,Continuous,NA
Total,fasting_glucose,freq,10337,Continuous,NA
