variable,group,Total,Male,Female
fat_percentage,NA,32.4 (8.7),26.4 (6.2),38.4 (6.4)
bmi,NA,28.4 (6.8),28 (6),28.8 (7.5)
bmi_category,18.5-24.9,5770 (31.1%),2721 (30.4%),3049 (31.6%)
bmi_category,25-29.9,5912 (31.8%),3250 (36.3%),2662 (27.6%)
bmi_category,30-39.9,5111 (27.5%),2331 (26.1%),2780 (28.8%)
bmi_category,<18.5,404 (2.2%),163 (1.8%),241 (2.5%)
bmi_category,>= 40,1382 (7.4%),476 (5.3%),906 (9.4%)
bf_category,0,226 (2.1%),82 (1.5%),144 (2.7%)
bf_category,1,1284 (12.1%),810 (15.3%),474 (8.8%)
bf_category,2,2139 (20.1%),1243 (23.5%),896 (16.7%)
bf_category,3,7002 (65.7%),3160 (59.7%),3842 (71.7%)
