variable,group,Total,2011-2014,2015-2018
age,NA,48.3 (18.5),47.5 (18.5),49.1 (18.5)
dm_age,NA,60.3 (100.6),60 (98.3),60.6 (102.5)
waistcircumference,NA,98.9 (16.9),98.1 (16.7),99.8 (17.1)
fasting_glucose,NA,110.4 (36.9),107.4 (34.4),113.4 (39.1)
triglyceride,NA,117.6 (104.8),122.4 (109.7),112.3 (99.1)
ldl,NA,111.4 (35.6),111.4 (35.1),111.4 (36.2)
hdl,NA,53 (15.9),52.4 (15.3),53.6 (16.5)
total_fat,NA,27111.5 (11933),26921.1 (11940.4),27333.2 (11921.7)
fat_percentage,NA,32.7 (8.7),32.5 (8.6),33 (8.7)
bmi,NA,29.1 (7.2),28.8 (7),29.5 (7.3)
glycohemoglobin,NA,"5.5 (5.2, 5.9)","5.5 (5.2, 5.9)","5.6 (5.3, 5.9)"
sbp,NA,124.4 (18.7),123 (18.1),125.8 (19.2)
dbp,NA,70.3 (12.8),69.8 (12.8),70.9 (12.8)
dm,NA,22560 (NA%),11417 (NA%),11143 (NA%)
gender,Female,11534 (51.1%),5822 (51%),5712 (51.3%)
gender,Male,11026 (48.9%),5595 (49%),5431 (48.7%)
race_eth,Asian,2899 (12.9%),1443 (12.6%),1456 (13.1%)
race_eth,Hispanic,5478 (24.3%),2477 (21.7%),3001 (26.9%)
race_eth,NH Black,5169 (22.9%),2690 (23.6%),2479 (22.2%)
race_eth,NH White,8170 (36.2%),4464 (39.1%),3706 (33.3%)
race_eth,Other Race,844 (3.7%),343 (3%),501 (4.5%)
fipr,above poverty,15531 (76.5%),7831 (74.7%),7700 (78.4%)
fipr,at poverty,71 (0.3%),30 (0.3%),41 (0.4%)
fipr,below poverty,4701 (23.2%),2619 (25%),2082 (21.2%)
bmi_category,18.5-24.9,6305 (27.9%),3420 (30%),2885 (25.9%)
bmi_category,25-29.9,7033 (31.2%),3557 (31.2%),3476 (31.2%)
bmi_category,30-39.9,6752 (29.9%),3248 (28.4%),3504 (31.4%)
bmi_category,<18.5,420 (1.9%),233 (2%),187 (1.7%)
bmi_category,>= 40,2050 (9.1%),959 (8.4%),1091 (9.8%)
immigrant,NA,13 (0.1%),9 (0.1%),4 (0%)
immigrant,"Born in 50 US states or Washington, DC",15657 (69.4%),8077 (70.7%),7580 (68%)
immigrant,Other,6890 (30.5%),3331 (29.2%),3559 (31.9%)
education,NA,1185 (5.3%),641 (5.6%),544 (4.9%)
education,Any college and above,11844 (52.5%),5981 (52.4%),5863 (52.6%)
education,High school only,4762 (21.1%),2351 (20.6%),2411 (21.6%)
education,Less than high school,4769 (21.1%),2444 (21.4%),2325 (20.9%)
marital,NA,1161 (5.1%),632 (5.5%),529 (4.7%)
marital,married,10716 (47.5%),5394 (47.2%),5322 (47.8%)
marital,never married,5895 (26.1%),2977 (26.1%),2918 (26.2%)
marital,previously married,4788 (21.2%),2414 (21.1%),2374 (21.3%)
insurance,NA,45 (0.2%),16 (0.1%),29 (0.3%)
insurance,Covered by health insurance,18131 (80.4%),8840 (77.4%),9291 (83.4%)
insurance,No health insurance,4384 (19.4%),2561 (22.4%),1823 (16.4%)
insurance_type,NA,22560 (100%),11417 (100%),11143 (100%)
