variable,female DM,female NewDM,female NoDM,female PreDM,male DM,male NewDM,male NoDM,male PreDM
BMI,"33.8 	 (32.5, 35)","35.1 	 (33.1, 37.1)","26 	 (25.6, 26.5)","30.2 	 (29.6, 30.8)","31 	 (29.7, 32.4)","32.4 	 (30.9, 33.9)","26.1 	 (25.5, 26.6)","28.2 	 (27.8, 28.7)"
Fat percentage,"40.8 	 (39.8, 41.8)","41.3 	 (40.1, 42.5)","36.6 	 (36.1, 37.1)","39.6 	 (39.1, 40.2)","28.6 	 (27.3, 29.8)","30.4 	 (29.3, 31.6)","25.2 	 (24.7, 25.7)","27.2 	 (26.8, 27.7)"
Waistcircumference,"108.8 	 (106.1, 111.4)","108.5 	 (104.4, 112.5)","87.7 	 (86.6, 88.8)","97.5 	 (96.1, 98.9)","106 	 (102.5, 109.5)","109.9 	 (106.3, 113.5)","91.7 	 (90.4, 92.9)","97.8 	 (96.7, 98.9)"
Waist-to-Height Ratio,"0.7 	 (0.7, 0.7)","0.7 	 (0.6, 0.7)","0.5 	 (0.5, 0.6)","0.6 	 (0.6, 0.6)","0.6 	 (0.6, 0.6)","0.6 	 (0.6, 0.6)","0.5 	 (0.5, 0.5)","0.6 	 (0.6, 0.6)"
Fasting glucose,"174.8 	 (164.6, 185)","145.5 	 (135.8, 155.2)","90.7 	 (90, 91.4)","103.5 	 (102.7, 104.3)","185.3 	 (171, 199.7)","151.7 	 (143.1, 160.3)","92.2 	 (91.6, 92.9)","105.1 	 (104.3, 105.9)"
Glycohemoglobin,"7.7 	 (7.5, 8)","6.8 	 (6.5, 7.1)","5.2 	 (5.2, 5.3)","5.6 	 (5.5, 5.6)","8.1 	 (7.7, 8.5)","6.8 	 (6.4, 7.1)","5.3 	 (5.2, 5.3)","5.5 	 (5.4, 5.5)"
SBP,"124.8 	 (120.8, 128.8)","120.2 	 (116.3, 124.1)","113 	 (111.9, 114.2)","117.1 	 (115.7, 118.4)","123.3 	 (120.2, 126.5)","127.2 	 (121.8, 132.5)","119.1 	 (117.8, 120.3)","122.1 	 (120.9, 123.4)"
DBP,"71 	 (68.8, 73.2)","72.4 	 (69.9, 74.8)","68.5 	 (67.7, 69.2)","70.5 	 (69.2, 71.7)","73.7 	 (71.4, 76)","78.1 	 (75.4, 80.8)","70.6 	 (69.5, 71.7)","73.4 	 (72.3, 74.4)"
LDL,"114.3 	 (106.9, 121.6)","109.8 	 (97.3, 122.4)","106.7 	 (103.8, 109.5)","117.8 	 (114.4, 121.1)","88.5 	 (81.2, 95.9)","119.1 	 (109.3, 128.9)","112.3 	 (109.3, 115.4)","116.5 	 (113.5, 119.4)"
HDL,"47.6 	 (44.7, 50.5)","46.9 	 (44.4, 49.3)","62.9 	 (61.5, 64.2)","55.1 	 (53.6, 56.5)","42 	 (39.8, 44.1)","41.3 	 (39.5, 43.1)","51.1 	 (49.9, 52.3)","48.3 	 (47.4, 49.3)"
Triglyceride,"189.7 	 (132.2, 247.1)","145.9 	 (124.1, 167.6)","86 	 (80.3, 91.6)","107.7 	 (101.5, 113.9)","156.2 	 (122.8, 189.6)","181.5 	 (154.6, 208.5)","111.7 	 (104.9, 118.5)","133.3 	 (124.7, 141.9)"
Total cholesterol,"197.1 	 (188.5, 205.6)","185 	 (172.8, 197.3)","186.4 	 (183.5, 189.2)","193.8 	 (190.4, 197.1)","160.1 	 (150.5, 169.7)","195.1 	 (184.9, 205.4)","185.3 	 (181.9, 188.6)","190.5 	 (187.2, 193.9)"
